question_id,topic,difficulty,question,gold_answer,generated_answer,gold_article_keys,retrieved_article_keys,retrieved_citations,token_f1,rouge_l,retrieval_gold_available,citation_present,citation_gold_match,grounded_citation_score,error_type_auto
Q078,Ceza Hukuku,medium,Ceza hukukunda mülkilik ilkesi neyi ifade eder?,Türkiye'de işlenen suçlar hakkında Türk kanunları uygulanır.,"1. Ceza hukukunda mülkilik ilkesi, kişilerin mülkiyet haklarını korumak ve bu hakların korunmasını sağlamak amacıyla düzenlenir. mülkilik ilkesi, kişilerin mülkiyet haklarını korumak ve bu hakların korunmasını sağlamak amacıyla düzenlenir. mülkilik ilkesi, kişilerin mülkiyet haklarını korumak ve bu hakların korunmasını sağlamak amacıyla düzenlenir. mülkilik ilkesi, kişilerin mülkiyet haklarını korumak ve bu hakların korunmasını sağlamak amacıyla düzenlenir. mülkilik ilkesi, kişilerin mülkiyet haklarını korumak ve bu hakların korunmasını sağlamak amacıyla düzenlenir. mülkilik ilkesi, kişilerin mülkiyet haklarını korumak ve bu hakların korunmasını sağlamak amacıyla düzenlenir. mülkilik ilkesi, kişilerin mülkiyet haklarını korumak ve bu hakların korunmasını sağlamak amacıyla düzenlenir. mülkilik ilkesi, kişilerin mülkiyet haklarını korumak ve bu hakların korunmasını sağlamak amacıyla düzenlenir. mülkilik ilkesi, kişilerin mülkiyet haklarını korumak ve bu hakların korunmasını sağlamak amacıyla düzenlenir. mülkilik ilkesi, kişilerin mülkiyet haklarını korumak ve bu hakların korunmasını sağlamak amacıyla düzenlenir. mülkilik ilkesi, kişilerin mülkiyet haklarını korumak ve bu hakların korunmasını sağlamak amacıyla düzenlenir. mülkilik ilkesi, kişilerin mülkiyet haklarını korumak ve bu hakların korunmasını sağlamak amacıyla düzenlenir. mülkilik il",1_5_5237_MADDE_8,1_5_5237_MADDE_1; 1_5_5718_MADDE_23; 1_5_5271_MADDE_248; 1_3_2644_MADDE_26; 1_5_6769_MADDE_148; 1_5_6102_MADDE_1032; 1_3_1632_MADDE_78; 1_3_5846_MADDE_62; 1_5_6713_MADDE_8; 1_5_6769_MADDE_153,TÜRK CEZA KANUNU m.1 | MİLLETLERARASI ÖZEL HUKUK VE USUL HUKUKU HAKKINDA KANUN m.23 | CEZA MUHAKEMESİ KANUNU m.248 | TAPU KANUNU m.26 | SINAİ MÜLKİYET KANUNU m.148 | TÜRK TİCARET KANUNU m.1032 | ASKERİ CEZA KANUNU m.78 | FİKİR VE SANAT ESERLERİ KANUNU m.62 | KOLLUK GÖZETİM KOMİSYONU KURULMASI HAKKINDA KANUN m.8 | SINAİ MÜLKİYET KANUNU m.153,0.0,0.0,0.0,0.0,0.0,0.0,retrieval_miss
Q023,Ceza Hukuku,easy,"Ceza hukukunda ""yer yönünden uygulama""da ""mülkilik ilkesi""nin anlamı nedir?",Mülkilik ilkesi gereğince Türkiye’de işlenen suçlara Türk ceza kanunları uygulanır. Fiilin kısmen veya tamamen Türkiye’de işlenmesi ya da neticenin Türkiye’de gerçekleşmesi halinde suç Türkiye’de işlenmiş sayılır.,"1. Mülkiyetin gayri ayni haklara ve müşterek bir arzın hissedarları veya birbirine muttasıl gayrimenkullerin sahipleri arasında bunlardan birinin veya bir kaçının o gayrimenkul üzerinde mevcut veya inşa edilecek binanın, muayyen bir katından veya dairesinden yahut müstakillen istimale elverişli bir bölümünden munhasıran istifadesini temin gayesiyle Medeni Kanunun 753 üncü maddesi hükümlerine göre irtifak hakkı tesisine veya tesisi vadine mütedair resmi senetler tapu sicil müdürü veya tapu sicil görevlileri tarafından tanzim edilir. (Ek fıkra:4/7/2019-7181/1 md.) Taşınmaz mülkiyetinin devrini amaçlayan sözleşmelerde, tarafların farklı tapu müdürlükleri veya yurt dışı teşkilatında bulunmaları hâlinde, taraf iradeleri resmî görevliler tarafından ayrı ayrı alınarak sözleşme tamamlanabilir. Bu fıkranın uygulanmasına ilişkin usul ve esaslar yönetmelikle belirlenir. (Ek fıkra: 15/1/2009-5831/1 md.) İllerde bulunan tapu sicil müdürlükleri dışındaki müdürlüklerden akitli ve akitsiz işlemleri yıllık 500'ün altında olan yerlerde işleri yapmak üzere, Tapu ve Kadastro Genel Müdürlüğünce yakın il veya ilçelerde görevli tapu sicil müdürü veya görevlendirilen yetkili memura belirli günlerde yetki verilebilir. (Ek fıkra: 15/",1_5_5237_MADDE_8,1_3_2644_MADDE_26; 1_5_4458_MADDE_132; 1_5_4721_MADDE_683; 1_5_5320_MADDE_5; 1_5_5718_MADDE_21; 1_5_634_MADDE_57; 1_5_6100_MADDE_8; 1_5_5718_MADDE_28; 1_5_5718_MADDE_22; 1_5_3083_MADDE_24,TAPU KANUNU m.26 | GÜMRÜK KANUNU m.132 | TÜRK MEDENİ KANUNU m.683 | CEZA MUHAKEMESİ KANUNUNUN YÜRÜRLÜK VE UYGULAMA ŞEKLİ HAKKINDA KANUN m.5 | MİLLETLERARASI ÖZEL HUKUK VE USUL HUKUKU HAKKINDA KANUN m.21 | KAT MÜLKİYETİ KANUNU m.57 | HUKUK MUHAKEMELERİ KANUNU m.8 | MİLLETLERARASI ÖZEL HUKUK VE USUL HUKUKU HAKKINDA KANUN m.28 | MİLLETLERARASI ÖZEL HUKUK VE USUL HUKUKU HAKKINDA KANUN m.22 | SULAMA ALANLARINDA ARAZİ DÜZENLENMESİNE DAİR TARIM REFORMU KANUNU m.24,0.010204081632653,0.010204081632653,0.0,1.0,1.0,0.0,retrieval_miss
Q080,Ceza Hukuku,easy,Suçta ve cezada kanunilik ilkesi neyi ifade eder?,Kanunun açıkça suç saymadığı bir fiil için kimseye ceza verilemez ve güvenlik tedbiri uygulanamaz.,"1. Suçta ve cezada kanunilik ilkesi, suçun kanuni unsurları ile suçun kanunla düzenlenmesi gerektiğini ifade eder. bu, suçun kanunla düzenlenmesi ve kanunla belirlenen suçun kanuni unsurları ile gerçekleştirilmesi gerektiğini belirtir. bu, suçun kanunla düzenlenmesi ve kanunla belirlenen suçun kanuni unsurları ile gerçekleştirilmesi gerektiğini belirtir. bu, suçun kanunla düzenlenmesi ve kanunla belirlenen suçun kanuni unsurları ile gerçekleştirilmesi gerektiğini belirtir. bu, suçun kanunla düzenlenmesi ve kanunla belirlenen suçun kanuni unsurları ile gerçekleştirilmesi gerektiğini belirtir. bu, suçun kanunla düzenlenmesi ve kanunla belirlenen suçun kanuni unsurları ile gerçekleştirilmesi gerektiğini belirtir. bu, suçun kanunla düzenlenmesi ve kanunla belirlenen suçun kanuni unsurları ile gerçekleştirilmesi gerektiğini belirtir. bu, suçun kanunla düzenlenmesi ve kanunla belirlenen suçun kanuni unsurları ile gerçekleştirilmesi gerektiğini belirtir. bu, suçun kanunla düzenlenmesi ve kanunla belirlenen suçun kanuni unsurları ile gerçekleştirilmesi gerektiğini belirtir. bu, suçun kanunla düzenlenmesi ve kanunla belirlenen suçun kanuni unsurları ile gerçekleştirilmesi gerektiğini belirtir. bu, suçun kanunla düzenlenmesi ve kanunla belirlenen suçun kanuni unsurları ile gerçekleştirilmesi gerektiğini belirtir. bu, suçun kanunla düzenlenmesi ve kanunla belirlenen suçun kanuni unsurları ile gerçekleştirilmesi gerekti",1_5_5237_MADDE_2,1_5_5237_MADDE_1; 1_5_477_MADDE_29; 1_5_5275_MADDE_6; 1_5_5402_MADDE_4; 1_5_5237_MADDE_21; 1_5_6701_MADDE_2; 1_5_6087_MADDE_1; 1_5_5275_MADDE_37; 1_5_5549_MADDE_2; 1_5_6216_MADDE_1,"TÜRK CEZA KANUNU m.1 | DİSİPLİN MAHKEMELERİ KURULUŞU, YARGILAMA USULÜ VE DİSİPLİN SUÇ VE CEZALARI HAKKINDA KANUN m.29 | CEZA VE GÜVENLİK TEDBİRLERİNİN İNFAZI HAKKINDA KANUN m.6 | DENETİMLİ SERBESTLİK HİZMETLERİ KANUNU m.4 | TÜRK CEZA KANUNU m.21 | TÜRKİYE İNSAN HAKLARI VE EŞİTLİK KURUMU KANUNU m.2 | HÂKİMLER VE SAVCILAR KURULU KANUNU m.1 | CEZA VE GÜVENLİK TEDBİRLERİNİN İNFAZI HAKKINDA KANUN m.37 | SUÇ GELİRLERİNİN AKLANMASININ ÖNLENMESİ HAKKINDA KANUN m.2 | ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.1",0.0109289617486338,0.0109289617486338,0.0,0.0,0.0,0.0,retrieval_miss
Q175,Ticaret Hukuku,medium,Şirketlerin ticaret siciline tescili neden önemlidir?,"Tescil, kanunda öngörülen hâllerde kurucu veya açıklayıcı etki doğurur ve üçüncü kişilere karşı ileri sürülebilirliği sağlar.","1. Şirketlerin ticaret siciline tescil, şirketlerin ticaret faaliyetlerini düzenlemek ve takip etmek için gereklidir. tescil, şirketlerin ticaret faaliyetlerini düzenlemek ve takip etmek için gereklidir. bu, şirketlerin ticaret faaliyetlerini düzenlemek ve takip etmek için gereklidir. bu, şirketlerin ticaret faaliyetlerini düzenlemek ve takip etmek için gereklidir. bu, şirketlerin ticaret faaliyetlerini düzenlemek ve takip etmek için gereklidir. bu, şirketlerin ticaret faaliyetlerini düzenlemek ve takip etmek için gereklidir. bu, şirketlerin ticaret faaliyetlerini düzenlemek ve takip etmek için gereklidir. bu, şirketlerin ticaret faaliyetlerini düzenlemek ve takip etmek için gereklidir. bu, şirketlerin ticaret faaliyetlerini düzenlemek ve takip etmek için gereklidir. bu, şirketlerin ticaret faaliyetlerini düzenlemek ve takip etmek için gereklidir. bu, şirketlerin ticaret faaliyetlerini düzenlemek ve takip etmek için gereklidir. bu, şirketlerin ticaret faaliyetlerini düzenlemek ve takip etmek için gereklidir. bu, şirketlerin ticaret faaliyetlerini düzenlemek ve takip etmek için gereklidir. bu, şirketlerin ticaret faaliyetlerini düzenlemek ve takip etmek için gereklidir. bu, şirketlerin ticaret faaliyetlerini düzenlemek ve takip etmek için gereklidir. bu, şirketlerin ticaret faaliyetlerini düzenlemek ve takip etmek için gereklidir. bu, şirketlerin ticaret faaliyetlerini düzenlemek ve takip etmek için gereklidir. bu, şirketlerin ticaret faaliyetlerini düzenlemek ve takip etmek için gereklidir. bu, şirketlerin ticaret faaliyetlerini düzenlemek ve takip etmek için gereklidir. bu, şirketlerin ticaret faaliyetlerini düzenlemek ve takip etmek için gereklidir. bu, şirketlerin ticaret faaliyetlerini düzenlemek ve",1_5_6102_MADDE_30,1_5_6102_MADDE_586; 1_5_6102_MADDE_962; 1_5_6102_MADDE_87; 1_5_6102_MADDE_40; 1_5_5174_MADDE_9; 1_5_6102_MADDE_354; 1_5_6102_MADDE_598; 1_5_6102_MADDE_27; 1_5_6102_MADDE_587; 1_5_6102_MADDE_588,TÜRK TİCARET KANUNU m.586 | TÜRK TİCARET KANUNU m.962 | TÜRK TİCARET KANUNU m.87 | TÜRK TİCARET KANUNU m.40 | TÜRKİYE ODALAR VE BORSALAR BİRLİĞİ İLE ODALAR VE BORSALAR KANUNU m.9 | TÜRK TİCARET KANUNU m.354 | TÜRK TİCARET KANUNU m.598 | TÜRK TİCARET KANUNU m.27 | TÜRK TİCARET KANUNU m.587 | TÜRK TİCARET KANUNU m.588,0.0176211453744493,0.0176211453744493,0.0,0.0,0.0,0.0,retrieval_miss
Q071,Ceza Hukuku,medium,Meşru müdafaa ile zaruret hali arasındaki temel fark nedir?,Meşru müdafaada kişiye yönelen haksız bir saldırıyı defetme söz konusudur; zaruret halinde ise ağır ve muhakkak bir tehlikeden kendisini veya başkasını kurtarma amacı vardır.,"1. Kısa cevap: Bu hallerde Milli Müdafaa Vekilinin veyahut bir mevkiin müdafaasına memur kıtaların en büyük komutanının emrile harb mevkilerinde bulunan ahalinin iaşe ihtiyaçları dahi Milli Müdafaa mükellefiyeti yolu ile tedarik olunabilir. İKİNCİ FASIL Milli Müdafaa mükellefiyeti yolu ile tedarik olunacak maddeler

2. Şartlar / açıklama: Bu açıklama şu kaynak bilgilerine dayandırılmalıdır.

3. Dayanak maddeler: Kategori: Askeri Hukuk; Kanun: MİLLİ MÜDAFAA MÜKELLEFİYETİ KANUNU; Madde: MADDE 52.

4. Not / sınırlılık: Bu açıklama, kaynak metindeki esas içeriktir.",1_5_5237_MADDE_25,1_3_1632_MADDE_119; 1_3_3780_MADDE_1; 1_3_3634_MADDE_1; 1_3_1593_MADDE_80; 1_3_3634_MADDE_5; 1_3_3634_MADDE_52; 1_3_3634_MADDE_6; 1_3_3634_MADDE_44; 1_3_3634_MADDE_49; 1_3_3894_MADDE_21,ASKERİ CEZA KANUNU m.119 | MİLLİ KORUNMA KANUNU m.1 | MİLLİ MÜDAFAA MÜKELLEFİYETİ KANUNU m.1 | UMUMİ HIFZISSIHHA KANUNU m.80 | MİLLİ MÜDAFAA MÜKELLEFİYETİ KANUNU m.5 | MİLLİ MÜDAFAA MÜKELLEFİYETİ KANUNU m.52 | MİLLİ MÜDAFAA MÜKELLEFİYETİ KANUNU m.6 | MİLLİ MÜDAFAA MÜKELLEFİYETİ KANUNU m.44 | MİLLİ MÜDAFAA MÜKELLEFİYETİ KANUNU m.49 | DENİZDE ZABT VE MÜSADERE KANUNU m.21,0.0196078431372548,0.0196078431372548,0.0,1.0,0.0,0.0,retrieval_miss
Q061,Borçlar Hukuku,medium,Sözleşmede hata nedeniyle iptal hakkının doğması için hangi şart gerekir?,Hatanın esaslı olması gerekir. Esaslı olmayan hata sözleşmenin iptalini sağlamaz.,"1. Kısa cevap: Sözleşmede hata nedeniyle iptal hakkının doğması için, sözleşmenin yapıldığı sırada taraflarca öngörülmeyen ve öngörülmesi de beklenmeyen olağanüstü bir durum, borçludan kaynaklanmayan bir sebeple ortaya çıkar ve sözleşmenin yapıldığı sırada mevcut olguları, kendisinden ifanın istenmesini dürüstlük kurallarına aykırı düşecek derecede borçlu aleyhine değiştirirse ve borçlu da borcunu henüz ifa etmemiş veya ifanın aşırı ölçüde güçleşmesinden doğan haklarını saklı tutarak ifa etmiş olursa borçlu, hâkimden sözleşmenin yeni koşullara uyarlanmasını isteme, bu mümkün olmadığı takdirde sözleşmeden dönme hakkına sahiptir. Sürekli edimli sözleşmelerde borçlu, kural olarak dönme hakkının yerine fesih hakkını kullanır. Bu madde hükmü yabancı para borçlarında da uygulanır. F. Takas I. Koşulları 1. Genel olarak

Bu kaynak, kesinleştirilmiş kaynak değildir. Bu kaynak, ilgili mevzuat bilgilerine dayandırılmalıdır.

2. Şartlar / açıklama: Bu açıklama, verilen kaynak bilgilerine dayandırılmalıdır.

3. Dayanak maddeler: TÜRK BORÇLAR KANUNU m.138, TÜRK BORÇLAR KANUNU m.281, MİLLETLERARASI TAHKİM KANUNU m.15. Bu kaynak, kesinleştirilmiş kaynak değildir. Bu kaynak, ilgili mevzuat bilgilerine dayandırılmalıdır.

4. Not / sınırlılık: Bu kaynak, kesinleştirilmiş kaynak değildir",1_5_6098_MADDE_30,1_5_6098_MADDE_138; 1_5_4735_MADDE_20; 1_5_6098_MADDE_281; 1_5_6098_MADDE_31; 1_5_4686_MADDE_15; 1_5_6102_MADDE_1301; 1_5_6098_MADDE_227; 1_5_6098_MADDE_435; 1_5_6102_MADDE_1445; 1_5_6098_MADDE_268,TÜRK BORÇLAR KANUNU m.138 | KAMU İHALE SÖZLEŞMELERİ KANUNU m.20 | TÜRK BORÇLAR KANUNU m.281 | TÜRK BORÇLAR KANUNU m.31 | MİLLETLERARASI TAHKİM KANUNU m.15 | TÜRK TİCARET KANUNU m.1301 | TÜRK BORÇLAR KANUNU m.227 | TÜRK BORÇLAR KANUNU m.435 | TÜRK TİCARET KANUNU m.1445 | TÜRK BORÇLAR KANUNU m.268,0.0227272727272727,0.0227272727272727,0.0,1.0,0.0,0.0,retrieval_miss
Q100,Medeni Hukuk,medium,Ayırt etme gücü hangi ölçüte göre belirlenir?,"Yaş küçüklüğü, akıl hastalığı, akıl zayıflığı, sarhoşluk veya benzeri sebeplerden biriyle akla uygun davranma yeteneğinden yoksun olmayan herkes ayırt etme gücüne sahiptir.","1. Ayırt etme gücünü geçici olarak kaybeden kişi, bu sırada verdiği zararları gidermekle yükümlüdür. Ancak, ayırt etme gücünü kaybetmede kusuru olmadığını ispat ederse, sorumluluktan kurtulur. V. Sorumluluk sebeplerinin çokluğu 1. Sebeplerin yarışması

2. Bağlam: TÜRK BORÇLAR KANUNU m.59. Bu madde, ayırt etme gücünü geçici olarak kaybeden kişi, bu sırada verdiği zararları gidermekle yükümlüdür. Ancak, ayırt etme gücünü kaybetmede kusuru olmadığını ispat ederse, sorumluluktan kurtulur. V. Sorumluluk sebeplerinin çokluğu 1. Sebeplerin yarışması

3. Dayanak maddeler: TÜRK BORÇLAR KANUNU m.59. Bu madde, ayırt etme gücünü geçici olarak kaybeden kişi, bu sırada verdiği zararları gidermekle yükümlüdür. Ancak, ayırt etme gücünü kaybetmede kusuru olmadığını ispat ederse, sorumluluktan kurtulur. V. Sorumluluk sebeplerinin çokluğu 1. Sebeplerin yarışması

4. Not / sınırlılık: Bu açıklama, sadece verilen mevzuat bağlamına dayandırılmıştır. Uydurma yapılması yasaktır.",1_5_4721_MADDE_13,1_5_6098_MADDE_59; 1_5_4721_MADDE_16; 1_5_4721_MADDE_451; 1_5_4760_MADDE_7; 1_5_4721_MADDE_474; 1_5_6413_MADDE_13; 1_5_4721_MADDE_484; 1_5_5233_MADDE_9; 1_5_6102_MADDE_642; 1_5_4721_MADDE_15,TÜRK BORÇLAR KANUNU m.59 | TÜRK MEDENİ KANUNU m.16 | TÜRK MEDENİ KANUNU m.451 | ÖZEL TÜKETİM VERGİSİ KANUNU m.7 | TÜRK MEDENİ KANUNU m.474 | TÜRK SİLAHLI KUVVETLERİ DİSİPLİN KANUNU m.13 | TÜRK MEDENİ KANUNU m.484 | TERÖR VE TERÖRLE MÜCADELEDEN DOĞAN ZARARLARIN KARŞILANMASI HAKKINDA KANUN m.9 | TÜRK TİCARET KANUNU m.642 | TÜRK MEDENİ KANUNU m.15,0.027027027027027,0.027027027027027,0.0,1.0,0.0,0.0,retrieval_miss
Q152,Ceza Muhakemesi Hukuku,medium,Arama kararı verilebilmesi için hangi ölçü gerekir?,Arama yapılabilmesi için şüpheli veya sanığın yakalanabileceği ya da suç delillerinin elde edilebileceği hususunda makul şüphe bulunmalıdır.,"1. Arama kararı verilebilmesi için, arama için makul sebeplerin oluştuğunun gerekçeleriyle birlikte gösterilmesi gerekir. Arama kararında veya emrinde; aramanın sebebi, konusu ve kapsamı, aramanın yapılacağı yer, zaman ve geçerli olacağı süre belirtilir. Önleme araması aşağıdaki yerlerde yapılabilir: a) 2911 sayılı Toplantı ve Gösteri Yürüyüşleri Kanunu kapsamına giren toplantı ve gösteri yürüyüşlerinin yapıldığı yerde veya yakın çevresinde. b) Özel hukuk tüzel kişileri ile kamu kurumu niteliğindeki meslek kuruluşları veya sendikaların genel kurul toplantılarının yapıldığı yerin yakın çevresinde. c) Halkın topluca bulunduğu veya toplanabileceği yerlerde. ç) Eğitim ve öğretim özgürlüğünün sağlanması için her derecede eğitim ve öğretim kurumlarının idarecilerinin talebiyle ve 20 nci maddenin ikinci fıkrasının (A) bendindeki koşula uygun olarak girilecek yüksek öğretim kurumlarının içinde, bunların yakın çevreleri ile giriş ve çıkışlarında. d) Umumî veya umuma açık yerlerde. e) Her türlü toplu taşıma araçlarında, seyreden taşıtlarda. Konutta, yerleşim yerinde ve kamuya açık olmayan işyerlerinde ve eklentilerinde önleme araması yapılamaz. Spor karşılaşması, miting, konser, festival, toplantı ve gösteri yürüyüşünün düzenlendiği veya aniden toplulukların oluştuğu hallerde gecikmesinde sakınca bulunan hal var sayılır. Polis, tehlikenin önlenmesi veya bert",1_5_5271_MADDE_116,1_5_5686_MADDE_5; 1_5_5271_MADDE_119; 1_4_211_MADDE_56; 1_5_5271_MADDE_120; 1_5_5271_MADDE_117; 1_3_2559_MADDE_9; 1_4_213_MADDE_142; 1_3_3894_MADDE_57; 1_3_6831_MADDE_88; 1_3_3894_MADDE_61,JEOTERMAL KAYNAKLAR VE DOĞAL MİNERALLİ SULAR KANUNU m.5 | CEZA MUHAKEMESİ KANUNU m.119 | TÜRK SİLAHLI KUVVETLERİ İÇ HİZMET KANUNU m.56 | CEZA MUHAKEMESİ KANUNU m.120 | CEZA MUHAKEMESİ KANUNU m.117 | POLİS VAZİFE VE SALȂHİYET KANUNU m.9 | VERGİ USUL KANUNU m.142 | DENİZDE ZABT VE MÜSADERE KANUNU m.57 | ORMAN KANUNU m.88 | DENİZDE ZABT VE MÜSADERE KANUNU m.61,0.0418848167539267,0.031413612565445,0.0,1.0,0.0,0.0,retrieval_miss
Q068,Borçlar Hukuku,medium,Genel vekaletname ile taşınmaz devri veya bağışlama yapılabilir mi?,"Vekilin bağışlama yapabilmesi, taşınmaz devredebilmesi veya bir hakkı sınırlandırabilmesi için özel yetki verilmiş olması gerekir.","1. Genel vekaletname ile taşınmaz devri veya bağışlama yapılabilir mi?

Bu tür bir işlem, genel vekaletname ile taşınmaz devri veya bağışlama işlemleri için uygun değildir. Bu tür bir işlem, genel vekaletname ile taşınmaz devri veya bağışlama işlemleri için uygun değildir. Bu tür bir işlem, genel vekaletname ile taşınmaz devri veya bağışlama işlemleri için uygun değildir. Bu tür bir işlem, genel vekaletname ile taşınmaz devri veya bağışlama işlemleri için uygun değildir. Bu tür bir işlem, genel vekaletname ile taşınmaz devri veya bağışlama işlemleri için uygun değildir. Bu tür bir işlem, genel vekaletname ile taşınmaz devri veya bağışlama işlemleri için uygun değildir. Bu tür bir işlem, genel vekaletname ile taşınmaz devri veya bağışlama işlemleri için uygun değildir. Bu tür bir işlem, genel vekaletname ile taşınmaz devri veya bağışlama işlemleri için uygun değildir. Bu tür bir işlem, genel vekaletname ile taşınmaz devri veya bağışlama işlemleri için uygun değildir. Bu tür bir işlem, genel vekaletname ile taşınmaz devri veya bağışlama işlemleri için uygun değildir. Bu tür bir işlem, genel vekaletname ile taşınmaz devri veya bağışlama işlemleri için uygun değildir. Bu tür bir işlem, genel vekaletname ile taşınmaz devri veya bağışlama işlemleri için uygun değildir. Bu tür bir işlem, genel vekaletname ile taşınmaz devri veya bağışlama işlemleri için uygun değildir. Bu tür bir işlem, genel vekaletname ile taşınmaz devri veya bağışlama işlemleri için uygun",1_5_6098_MADDE_504,1_3_6760_MADDE_16; 1_5_4721_MADDE_440; 1_5_5737_GEÇİCİ_MADDE_7; 1_3_7269_MADDE_31; 1_5_5737_MADDE_16; 1_3_2644_MADDE_26; 1_5_5737_GEÇİCİ_MADDE_11; 1_5_4721_MADDE_444; 1_5_5366_MADDE_4; 1_3_6132_MADDE_5,VAKIFLAR UMUM MÜDÜRLÜĞÜ VAZİFE VE TEŞKİLÂTI HAKKINDA KANUN m.16 | TÜRK MEDENİ KANUNU m.440 | VAKIFLAR KANUNU geçici m.7 | UMUMİ HAYATA MÜESSİR AFETLER DOLAYISİYLE ALINACAK TEDBİRLERLE YAPILACAK YARDIMLARA DAİR KANUN m.31 | VAKIFLAR KANUNU m.16 | TAPU KANUNU m.26 | VAKIFLAR KANUNU geçici m.11 | TÜRK MEDENİ KANUNU m.444 | YIPRANAN TARİHİ VE KÜLTÜREL TAŞINMAZ VARLIKLARIN YENİLENEREK KORUNMASI VE YAŞATILARAK KULLANILMASI HAKKINDA KANUN m.4 | AT YARIŞLARI HAKKINDA KANUN m.5,0.0427350427350427,0.0427350427350427,0.0,0.0,0.0,0.0,retrieval_miss
Q036,Medeni Hukuk,medium,İyiniyetli zilyedin taşınırı iktisap etmesi (kazanması) için gereken şartlar nelerdir?,"İyiniyetli kişi, malik olmayan fakat taşınırı malik tarafından zilyetliği devredilmiş kişiden taşınırı teslim alırsa mülkiyeti kazanabilir. Kazanım için devralanın iyiniyetli olması ve taşınırın çalınmış, kaybedilmiş veya irade dışı elden çıkmış olmaması gerekir.","1. Taşınırı çalınan, kaybolan ya da iradesi dışında başka herhangi bir şekilde elinden çıkan zilyet, o şeyi elinde bulunduran herkese karşı beş yıl içinde taşınır davası açabilir. Bu taşınır, açık artırmadan veya pazardan ya da benzeri eşya satanlardan iyiniyetle edinilmiş ise; iyiniyetli birinci ve sonraki edinenlere karşı taşınır davası, ancak ödenen bedelin geri verilmesi koşuluyla açılabilir. Diğer konularda iyiniyetli zilyedin haklarına ilişkin hükümler uygulanır. c. Para ve hamile yazılı senetlerde

2. Bu açıklama şu kaynak bilgilerine dayandırılmalıdır: Kategori: Taşınmazlar; Madde: MADDE 989. Bu kaynak, kesin ve bağlayıcıdır.

3. Bağlam: TÜRK MEDENİ KANUNU m.989. Bu madde, taşınırı çalınan, kaybolan ya da iradesi dışında başka herhangi bir şekilde elinden çıkan zilyet, o şeyi elinde bulunduran herkese karşı beş yıl içinde taşınır davası açabilir. Bu taşınır, açık artırmadan veya pazardan ya da benzeri eşya satanlardan iyiniyetle edinilmiş ise; iyiniyetli birinci ve sonraki edinenlere karşı taşınır davası, ancak ödenen bedelin geri verilmesi koşuluyla açılabilir. Diğer konularda iyiniyetli zilyedin haklarına ilişkin hükümler uygulanır. c. Para ve hamile yazılı senetlerde

4. Not / sınırlılık: Bu kaynak, kesin ve bağlayıcıdır. Bu kaynak, sadece",1_5_4721_MADDE_988,1_5_4721_MADDE_989; 1_5_4721_MADDE_777; 1_5_4721_MADDE_763; 1_5_4721_MADDE_939; 1_5_4721_MADDE_990; 1_5_4721_MADDE_995; 1_5_6750_MADDE_12; 1_5_4721_MADDE_991; 1_5_6098_MADDE_208; 1_5_4721_MADDE_986,TÜRK MEDENİ KANUNU m.989 | TÜRK MEDENİ KANUNU m.777 | TÜRK MEDENİ KANUNU m.763 | TÜRK MEDENİ KANUNU m.939 | TÜRK MEDENİ KANUNU m.990 | TÜRK MEDENİ KANUNU m.995 | TİCARİ İŞLEMLERDE TAŞINIR REHNİ KANUNU m.12 | TÜRK MEDENİ KANUNU m.991 | TÜRK BORÇLAR KANUNU m.208 | TÜRK MEDENİ KANUNU m.986,0.0478468899521531,0.0382775119617224,0.0,1.0,0.0,0.0,retrieval_miss
