question_id,topic,difficulty,question,gold_answer,generated_answer,gold_article_keys,retrieved_article_keys,retrieved_citations,token_f1,rouge_l,retrieval_gold_available,citation_present,citation_gold_match,grounded_citation_score,error_type_auto
Q146,Ceza Hukuku,easy,İştirak hâlinde azmettirme neyi ifade eder?,"Azmettirme, belli bir suçu işleme kararı bulunmayan kişide suç işleme kararını oluşturmaktır.","1. Kısa cevap: İştirak hâlinde azmettirme, birden fazla kişinin bir suçun işlenmesine ortak olarak katılması ve bu suçun işlenmesine katkıda bulunmasıdır.

2. Şartlar / açıklama: İştirak hâlinde azmettirme, kasten ve hukuka aykırı işlenmiş bir fiilin varlığı ile gerçekleşir. Suçun işlenişine iştirak eden her kişi, diğerinin cezalandırılmasını önleyen kişisel nedenler göz önünde bulundurulmaksızın kendi kusurlu fiiline göre cezalandırılır. Özgü suçlarda, ancak özel faillik niteliğini taşıyan kişi fail olabilir. Bu suçların işlenişine iştirak eden diğer kişiler ise azmettiren veya yardım eden olarak sorumlu tutulur. Suça iştirakten dolayı sorumlu tutulabilmek için ilgili suçun en azından teşebbüs aşamasına varmış olması gerekir.

3. Dayanak maddeler: [1] TÜRK CEZA KANUNU m.40",1_5_5237_MADDE_38,1_5_5237_MADDE_40; 1_5_5237_MADDE_41; 1_5_6102_MADDE_1064; 1_5_5326_MADDE_14; 1_5_6102_MADDE_197; 1_5_5237_MADDE_37; 1_5_6102_MADDE_201; 1_5_6102_MADDE_1083; 1_5_6102_MADDE_196; 1_5_6102_MADDE_1081,TÜRK CEZA KANUNU m.40 | TÜRK CEZA KANUNU m.41 | TÜRK TİCARET KANUNU m.1064 | KABAHATLER KANUNU m.14 | TÜRK TİCARET KANUNU m.197 | TÜRK CEZA KANUNU m.37 | TÜRK TİCARET KANUNU m.201 | TÜRK TİCARET KANUNU m.1083 | TÜRK TİCARET KANUNU m.196 | TÜRK TİCARET KANUNU m.1081,0.0330578512396694,0.0330578512396694,0.0,1.0,0.0,0.0,retrieval_miss
Q175,Ticaret Hukuku,medium,Şirketlerin ticaret siciline tescili neden önemlidir?,"Tescil, kanunda öngörülen hâllerde kurucu veya açıklayıcı etki doğurur ve üçüncü kişilere karşı ileri sürülebilirliği sağlar.","1. Kısa cevap  
Şirketlerin ticaret siciline tescili, tüzel kişilik kazanmalarını ve ticari işlemlerini yasal çerçevede gerçekleştirmelerini sağlar.

2. Şartlar / açıklama  
Şirketler, ticaret siciline tescil ile tüzel kişilik kazanır. Tescil, şirketin ticari faaliyetlerini yasal olarak gerçekleştirmesini ve ticari işlemlerini güvence altına alır. Tescil işlemi, şirket sözleşmesinin ve diğer belgelerin ticaret siciline sunulması ile gerçekleştirilir.

3. Dayanak maddeler  
[1] TÜRK TİCARET KANUNU m.588  
[2] TÜRK TİCARET KANUNU m.355  
[3] TÜRK TİCARET KANUNU m.354  
[4] TÜRK TİCARET KANUNUNUN YÜRÜRLÜĞÜ VE UYGULAMA ŞEKLİ HAKKINDA KANUN m.16  
[5] TÜRK TİCARET KANUNU m.40  
[6] TÜRK TİCARET KANUNU m.373  
[7] TÜRK TİCARET KANUNU m.215  
[8] TÜRK TİCARET KANUNU m.587  
[9] TÜRK TİCARET KANUNU m.586  
[10] TÜRK TİCARET KANUNU m.152  

4. Not / sınırlılık  
Bu cevap, sadece verilen mevzuat bağlamına dayanır. Bağlamdaki kaynaklar, ticaret siciline tescilin önemini ve yasal çerçevesini belirler.",1_5_6102_MADDE_30,1_5_6102_MADDE_588; 1_5_6102_MADDE_355; 1_5_6102_MADDE_354; 1_5_6103_MADDE_16; 1_5_6102_MADDE_40; 1_5_6102_MADDE_373; 1_5_6102_MADDE_215; 1_5_6102_MADDE_587; 1_5_6102_MADDE_586; 1_5_6102_MADDE_152,TÜRK TİCARET KANUNU m.588 | TÜRK TİCARET KANUNU m.355 | TÜRK TİCARET KANUNU m.354 | TÜRK TİCARET KANUNUNUN YÜRÜRLÜĞÜ VE UYGULAMA ŞEKLİ HAKKINDA KANUN m.16 | TÜRK TİCARET KANUNU m.40 | TÜRK TİCARET KANUNU m.373 | TÜRK TİCARET KANUNU m.215 | TÜRK TİCARET KANUNU m.587 | TÜRK TİCARET KANUNU m.586 | TÜRK TİCARET KANUNU m.152,0.0355029585798816,0.0236686390532544,0.0,1.0,0.0,0.0,retrieval_miss
Q149,Ceza Hukuku,medium,Güvenlik tedbirleri ceza dışında neyi ifade eder?,"Güvenlik tedbirleri, failin veya tehlikeliliğin durumuna göre ceza dışında uygulanan ve kanunda düzenlenen hukuki sonuçlardır.","1. Kısa cevap: Güvenlik tedbirleri ceza dışında, suç işleyen kişilerin topluma zarar vermemesi ve yeniden suç işlememesi için alınan koruyucu ve önleyici tedbirleri ifade eder.

2. Şartlar / açıklama: Bu tedbirler, suçun niteliği ve suçlunun durumu dikkate alınarak uygulanır ve genellikle toplumun güvenliği ve suçlunun yeniden sosyalleşmesi hedeflenir.

3. Dayanak maddeler
Kaynak: CEZA VE GÜVENLİK TEDBİRLERİNİN İNFAZI HAKKINDA KANUN m.45
Kaynak: CEZA VE GÜVENLİK TEDBİRLERİNİN İNFAZI HAKKINDA KANUN m.37
Kaynak: CEZA VE GÜVENLİK TEDBİRLERİNİN İNFAZI HAKKINDA KANUN m.115
Kaynak: CEZA VE GÜVENLİK TEDBİRLERİNİN İNFAZI HAKKINDA KANUN m.104
Kaynak: TÜRK CEZA KANUNU m.57
Kaynak: CEZA VE GÜVENLİK TEDBİRLERİNİN İNFAZI HAKKINDA KANUN m.49
Kaynak: CEZA VE GÜVENLİK TEDBİRLERİNİN İNFAZI HAKKINDA KANUN m.3
Kaynak: CEZA VE GÜVENLİK TEDBİRLERİNİN İNFAZI HAKKINDA KANUN m.8
Kaynak: CEZA VE GÜVENLİK TEDBİRLERİNİN İNFAZI HAKKINDA KANUN m.6
Kaynak: CEZA VE GÜVENLİK TEDBİRLERİNİN İNFAZI HAKKINDA KANUN m.50

4. Not / sınırlılık: Güvenlik tedbirleri ceza dışında, suçun niteliği ve suçlunun durumu dikkate alınarak uygulanır ve gen",1_5_5237_MADDE_53,1_5_5275_MADDE_45; 1_5_5275_MADDE_37; 1_5_5275_MADDE_115; 1_5_5275_MADDE_104; 1_5_5237_MADDE_57; 1_5_5275_MADDE_49; 1_5_5275_MADDE_3; 1_5_5275_MADDE_8; 1_5_5275_MADDE_6; 1_5_5275_MADDE_50,CEZA VE GÜVENLİK TEDBİRLERİNİN İNFAZI HAKKINDA KANUN m.45 | CEZA VE GÜVENLİK TEDBİRLERİNİN İNFAZI HAKKINDA KANUN m.37 | CEZA VE GÜVENLİK TEDBİRLERİNİN İNFAZI HAKKINDA KANUN m.115 | CEZA VE GÜVENLİK TEDBİRLERİNİN İNFAZI HAKKINDA KANUN m.104 | TÜRK CEZA KANUNU m.57 | CEZA VE GÜVENLİK TEDBİRLERİNİN İNFAZI HAKKINDA KANUN m.49 | CEZA VE GÜVENLİK TEDBİRLERİNİN İNFAZI HAKKINDA KANUN m.3 | CEZA VE GÜVENLİK TEDBİRLERİNİN İNFAZI HAKKINDA KANUN m.8 | CEZA VE GÜVENLİK TEDBİRLERİNİN İNFAZI HAKKINDA KANUN m.6 | CEZA VE GÜVENLİK TEDBİRLERİNİN İNFAZI HAKKINDA KANUN m.50,0.0448430493273542,0.0448430493273542,0.0,1.0,0.0,0.0,retrieval_miss
Q058,Anayasa Hukuku,hard,Anayasa Mahkemesi'ne itiraz yolu ile başvurulabilmesi için hangi koşullar gerekir?,Bir davaya bakmakta olan mahkemenin uygulanacak kanun veya Cumhurbaşkanlığı kararnamesi hükmünü Anayasaya aykırı görmesi ya da taraflardan birinin ciddi aykırılık iddiasını haklı bulması gerekir.,"1. Kısa cevap  
Anayasa Mahkemesi'ne itiraz yolu ile başvurulabilmesi için belirli şartların taşınması gerekir.

2. Şartlar / açıklama  
Anayasa Mahkemesi'ne itiraz yolu ile başvurulabilmesi için, başvurucunun Anayasada güvence altına alınmış temel hak ve özgürlüklerinden birinin kamu gücü tarafından ihlal edildiği iddiası ile başvurması ve olağan kanun yollarının tüketilmiş olması gerekir. Ayrıca, başvuruda ileri sürülen Anayasaya aykırılık iddiasının ciddi olması ve başvurunun usul ve esaslara uygun olarak yapılması gereklidir. Bu şartlar, Anayasa Mahkemesi'nin itiraz başvurularını kabul edip incelemesini sağlar.

3. Dayanak maddeler  
Kaynak: ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.41  
Kaynak: ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.45  
Kaynak: ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.40  
Kaynak: TÜRKİYE CUMHURİYETİ ANAYASASI m.148  
Kaynak: ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.48  
Kaynak: ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.38  
Kaynak: ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.47  
Kaynak: ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAK",1_5_2709_MADDE_152,1_5_6216_MADDE_41; 1_5_6216_MADDE_45; 1_5_6216_MADDE_40; 1_5_2709_MADDE_148; 1_5_6216_MADDE_48; 1_5_6216_MADDE_38; 1_5_6216_MADDE_47; 1_5_6216_MADDE_43; 1_5_6216_MADDE_46; 1_5_6216_MADDE_39,ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.41 | ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.45 | ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.40 | TÜRKİYE CUMHURİYETİ ANAYASASI m.148 | ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.48 | ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.38 | ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.47 | ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.43 | ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.46 | ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.39,0.0591133004926108,0.0295566502463054,0.0,1.0,0.0,0.0,retrieval_miss
Q078,Ceza Hukuku,medium,Ceza hukukunda mülkilik ilkesi neyi ifade eder?,Türkiye'de işlenen suçlar hakkında Türk kanunları uygulanır.,"1. Kısa cevap: Mülkilik ilkesi, bir şeyin maliki, onun ürünlerinin de maliki olduğunu ifade eder.

2. Şartlar / açıklama: Bu ilke, malikin şeyin doğal ve hukuki ürünlerine sahip olduğunu ve bu ürünlerin onunla birlikte korunmasını gerektirir.

3. Dayanak maddeler
Kaynak: TÜRK MEDENİ KANUNU m.685
Kanun: TÜRK MEDENİ KANUNU
Madde: MADDE 685",1_5_5237_MADDE_8,1_5_5237_MADDE_26; 1_5_5237_MADDE_2; 1_5_5275_MADDE_6; 1_5_2709_MADDE_38; 1_5_5237_MADDE_25; 1_5_5237_MADDE_1; 1_5_5237_MADDE_3; 1_5_5237_MADDE_20; 1_5_5237_MADDE_7; 1_5_4721_MADDE_685,TÜRK CEZA KANUNU m.26 | TÜRK CEZA KANUNU m.2 | CEZA VE GÜVENLİK TEDBİRLERİNİN İNFAZI HAKKINDA KANUN m.6 | TÜRKİYE CUMHURİYETİ ANAYASASI m.38 | TÜRK CEZA KANUNU m.25 | TÜRK CEZA KANUNU m.1 | TÜRK CEZA KANUNU m.3 | TÜRK CEZA KANUNU m.20 | TÜRK CEZA KANUNU m.7 | TÜRK MEDENİ KANUNU m.685,0.0677966101694915,0.0677966101694915,0.0,1.0,1.0,0.0,retrieval_miss
Q152,Ceza Muhakemesi Hukuku,medium,Arama kararı verilebilmesi için hangi ölçü gerekir?,Arama yapılabilmesi için şüpheli veya sanığın yakalanabileceği ya da suç delillerinin elde edilebileceği hususunda makul şüphe bulunmalıdır.,"1. Kısa cevap: Arama kararı verilebilmesi için, tehlikenin veya suç işlenmesinin önlenmesi amacıyla usûlüne göre verilmiş sulh ceza hâkiminin kararı veya bu sebeplere bağlı olarak gecikmesinde sakınca bulunan hâllerde mülkî âmirin vereceği yazılı emir gereklidir.

2. Şartlar / açıklama: Arama kararı verilebilmesi için, tehlikenin veya suç işlenmesinin önlenmesi amacıyla usûlüne göre verilmiş sulh ceza hâkiminin kararı veya bu sebeplere bağlı olarak gecikmesinde sakınca bulunan hâllerde mülkî âmirin vereceği yazılı emir gereklidir. Arama talep yazısında, arama için makul sebeplerin oluştuğunun gerekçeleriyle birlikte gösterilmesi gerekir. Arama kararında veya emrinde; aramanın sebebi, konusu ve kapsamı ile yapılacağı yer, zaman ve geçerli olacağı süre belirtilir. Aramanın sonucu, arama kararı veya emri veren merci ya da makama bir tutanakla bildirilir. Konutta ve yerleşim yerinde ve eklentilerinde önleme araması yapılamaz.

3. Dayanak maddeler
Kaynak: POLİS VAZİFE VE SALȂHİYET KANUNU m.9
Kaynak: TÜRK SİLAHLI KUVVETLERİ İÇ HİZMET KANUNU m.56
Kaynak: CEZA MUHAKEMESİ KANUNU m.119

4. Not / sınırlılık: Bu hüküm, arama kararı verilebilmesi için gerekli olan ölçüler ve şartları belirler.",1_5_5271_MADDE_116,1_4_213_MADDE_142; 1_3_2559_MADDE_9; 1_4_211_MADDE_56; 1_5_5271_MADDE_119; 1_5_6491_MADDE_6; 1_5_5271_MADDE_117; 1_5_5271_MADDE_118; 1_3_3894_MADDE_61; 1_5_5271_MADDE_120; 1_3_3780_MADDE_65,VERGİ USUL KANUNU m.142 | POLİS VAZİFE VE SALȂHİYET KANUNU m.9 | TÜRK SİLAHLI KUVVETLERİ İÇ HİZMET KANUNU m.56 | CEZA MUHAKEMESİ KANUNU m.119 | TÜRK PETROL KANUNU m.6 | CEZA MUHAKEMESİ KANUNU m.117 | CEZA MUHAKEMESİ KANUNU m.118 | DENİZDE ZABT VE MÜSADERE KANUNU m.61 | CEZA MUHAKEMESİ KANUNU m.120 | MİLLİ KORUNMA KANUNU m.65,0.0721649484536082,0.0515463917525773,0.0,1.0,0.0,0.0,retrieval_miss
Q137,Borçlar Hukuku,medium,Borcun naklinde alacaklının rızası gerekli midir?,"Borcun üstlenilmesi, alacaklı ile üstlenen arasında veya borçlu ile üstlenen arasında yapılan ve alacaklının onayını gerektiren işlemlerle gerçekleşir; alacaklının rızası esastır.","1. Kısa cevap: Borcun naklinde alacaklının rızası gerekli değildir, ancak alacaklının rızası, borcun naklinin geçerliliğini ve üçüncü kişilere karşı ileri sürülebilirliğini etkileyebilir.

2. Şartlar / açıklama: Borcun naklinde alacaklının rızası gerekli değildir, ancak alacaklının rızası, borcun naklinin geçerliliğini ve üçüncü kişilere karşı ileri sürülebilirliğini etkileyebilir. Borcun naklinin geçerli olması için alacaklının rızası gereklidir.

3. Dayanak maddeler: [1] TÜRK BORÇLAR KANUNU m.185; [5] TÜRK BORÇLAR KANUNU m.183; [7] TÜRK BORÇLAR KANUNU m.198; [9] TÜRK MEDENİ KANUNU m.821; [10] İCRA VE İFLAS KANUNU m.120

4. Not / sınırlılık: Bu cevap, sadece verilen mevzuat bağlamına dayanır. Borcun naklinde alacaklının rızası gerekli değildir, ancak alacaklının rızası, borcun naklinin geçerliliğini ve üçüncü kişilere karşı ileri sürülebilirliğini etkileyebilir.",1_5_6098_MADDE_195,1_5_6098_MADDE_185; 1_5_4721_MADDE_961; 1_5_6098_MADDE_196; 1_5_6098_MADDE_144; 1_5_6098_MADDE_183; 1_5_6098_MADDE_143; 1_5_6098_MADDE_198; 1_5_6098_MADDE_197; 1_5_4721_MADDE_821; 1_3_2004_MADDE_120,TÜRK BORÇLAR KANUNU m.185 | TÜRK MEDENİ KANUNU m.961 | TÜRK BORÇLAR KANUNU m.196 | TÜRK BORÇLAR KANUNU m.144 | TÜRK BORÇLAR KANUNU m.183 | TÜRK BORÇLAR KANUNU m.143 | TÜRK BORÇLAR KANUNU m.198 | TÜRK BORÇLAR KANUNU m.197 | TÜRK MEDENİ KANUNU m.821 | İCRA VE İFLAS KANUNU m.120,0.072463768115942,0.072463768115942,0.0,1.0,0.0,0.0,retrieval_miss
Q132,Borçlar Hukuku,medium,Sözleşmede icap hangi unsuru taşımalıdır?,"İcap, sözleşmenin kurulması için gerekli esaslı noktaları içermeli ve bağlanma iradesini göstermelidir.","1. Kısa cevap  
Sözleşmede icap, tarafların iradelerini karşılıklı ve birbirine uygun olarak açıklamalarıyla kurulmalıdır. İrade açıklaması, açık veya örtülü olabilir.

2. Şartlar / açıklama  
Sözleşmede icap, tarafların iradelerinin karşılıklı ve birbirine uygun olarak açıklanması şartını taşımak zorundadır. İrade açıklaması, açık veya örtülü olabilir. Bu, sözleşmenin geçerli bir şekilde kurulmasını ve tarafların hak ve yükümlülüklerinin belirlenmesini sağlar.

3. Dayanak maddeler  
[1] Kaynak: TÜRK BORÇLAR KANUNU m.1",1_5_6098_MADDE_8,1_5_6098_MADDE_1; 1_5_4735_MADDE_7; 1_5_5738_MADDE_21; 1_5_6098_MADDE_13; 1_5_6098_MADDE_2; 1_5_6098_MADDE_6; 1_5_4721_MADDE_204; 1_5_6098_MADDE_19; 1_5_6098_MADDE_20; 1_5_6098_MADDE_206,TÜRK BORÇLAR KANUNU m.1 | KAMU İHALE SÖZLEŞMELERİ KANUNU m.7 | SPOR MÜSABAKALARINA DAYALI SABİT İHTİMALLİ VE MÜŞTEREK BAHİS OYUNLARININ ÖZEL HUKUK TÜZEL KİŞİLERİNE YAPTIRILMASI HAKKINDA KANUN m.21 | TÜRK BORÇLAR KANUNU m.13 | TÜRK BORÇLAR KANUNU m.2 | TÜRK BORÇLAR KANUNU m.6 | TÜRK MEDENİ KANUNU m.204 | TÜRK BORÇLAR KANUNU m.19 | TÜRK BORÇLAR KANUNU m.20 | TÜRK BORÇLAR KANUNU m.206,0.075,0.075,0.0,1.0,0.0,0.0,retrieval_miss
Q155,Ceza Muhakemesi Hukuku,hard,Koruma tedbirleri nedeniyle tazminat isteme hakkı hangi durumda doğar?,Kanunda belirtilen koruma tedbirlerinin haksız veya hukuka aykırı uygulanması hâlinde kişiler maddi ve manevi tazminat isteyebilir.,"1. Kısa cevap  
Koruma tedbirleri nedeniyle tazminat isteme hakkı, lehine ihtiyati tedbir kararı verilen tarafın, ihtiyati tedbir talebinde bulunduğu anda haksız olduğu anlaşılması, tedbir kararı kendiliğinden kalkması veya itiraz üzerine kaldırılması durumunda doğar.

2. Şartlar / açıklama  
Bu hak, haksız ihtiyati tedbirden kaynaklanan zararın tazmin edilmesi için esas hakkındaki davanın karara bağlandığı mahkemede açılan tazminat davası ile kullanılır. Tazminat isteme hakkı, hükmün kesinleşmesinden veya ihtiyati tedbir kararının kalkmasından itibaren bir yıl geçmesiyle zamanaşımına uğrar.

3. Dayanak maddeler  
Kaynak: HUKUK MUHAKEMELERİ KANUNU m.399",1_5_5271_MADDE_141,1_5_6100_MADDE_399; 1_5_6098_MADDE_439; 1_5_7091_MADDE_9; 1_5_5271_MADDE_142; 1_5_2330_MADDE_2; 1_5_6102_MADDE_1448; 1_5_2920_MADDE_127; 1_5_5510_MADDE_21; 1_5_2453_MADDE_3; 1_5_6331_MADDE_13,HUKUK MUHAKEMELERİ KANUNU m.399 | TÜRK BORÇLAR KANUNU m.439 | OLAĞANÜSTÜ HAL KAPSAMINDA ALINMASI GEREKEN TEDBİRLER HAKKINDA KANUN HÜKMÜNDE KARARNAMENİN KABUL EDİLMESİNE DAİR KANUN m.9 | CEZA MUHAKEMESİ KANUNU m.142 | NAKDİ TAZMİNAT VE AYLIK BAĞLANMASI HAKKINDA KANUN m.2 | TÜRK TİCARET KANUNU m.1448 | TÜRK SİVİL HAVACILIK KANUNU m.127 | SOSYAL SİGORTALAR VE GENEL SAĞLIK SİGORTASI KANUNU m.21 | YURT DIŞINDA GÖREVLİ PERSONELE NAKTİ TAZMİNAT VERİLMESİ VE AYLIK BAĞLANMASI HAKKINDA KANUN m.3 | İŞ SAĞLIĞI VE GÜVENLİĞİ KANUNU m.13,0.0808080808080808,0.0808080808080808,0.0,1.0,0.0,0.0,retrieval_miss
Q065,Borçlar Hukuku,medium,Hakim cezai şartı hangi durumda indirebilir?,"Hakim, aşırı gördüğü cezai şartı kendiliğinden indirebilir.","1. Hakim cezai şartı, failin geçmişi, sosyal ilişkileri, fiilden sonraki ve yargılama sürecindeki pişmanlığını gösteren davranışları veya cezanın failin geleceği üzerindeki olası etkileri göz önünde bulundurarak indirebilir. Bu hüküm, ancak failin duruşmadaki mahkemeyi etkilemeye yönelik şeklî tutum ve davranışları dikkate alınmaz.

2. Şartlar / açıklama: Hakim, failin pişmanlık göstermesi, mağdurun zararının tazmin edilmesi veya suçun ağırlığına göre cezayı hafifleten diğer nedenleri göz önünde bulundurarak cezayı indirebilir. Bu hüküm, ancak failin duruşmadaki mahkemeyi etkilemeye yönelik şeklî tutum ve davranışları dikkate alınmaz.

3. Dayanak maddeler: [2] TÜRK CEZA KANUNU m.62",1_5_6098_MADDE_182,1_5_5237_MADDE_248; 1_5_5237_MADDE_62; 1_5_5237_MADDE_61; 1_5_5275_MADDE_100; 1_5_5237_MADDE_63; 1_5_5237_MADDE_110; 1_5_5237_MADDE_293; 1_5_5237_MADDE_29; 1_5_5237_MADDE_51; 1_5_5237_MADDE_50,TÜRK CEZA KANUNU m.248 | TÜRK CEZA KANUNU m.62 | TÜRK CEZA KANUNU m.61 | CEZA VE GÜVENLİK TEDBİRLERİNİN İNFAZI HAKKINDA KANUN m.100 | TÜRK CEZA KANUNU m.63 | TÜRK CEZA KANUNU m.110 | TÜRK CEZA KANUNU m.293 | TÜRK CEZA KANUNU m.29 | TÜRK CEZA KANUNU m.51 | TÜRK CEZA KANUNU m.50,0.0842105263157894,0.0842105263157894,0.0,1.0,0.0,0.0,retrieval_miss
