question_id,topic,difficulty,question,gold_answer,generated_answer,gold_article_keys,retrieved_article_keys,retrieved_citations,token_f1,rouge_l,retrieval_gold_available,citation_present,citation_gold_match,grounded_citation_score,error_type_auto
Q078,Ceza Hukuku,medium,Ceza hukukunda mülkilik ilkesi neyi ifade eder?,Türkiye'de işlenen suçlar hakkında Türk kanunları uygulanır.,"1. **Kısa cevap:**  
Ceza hukukunda mülkilik ilkesi doğrudan ifade edilmemiştir. Ancak, mülkiyetin korunması, hukukun temel ilkeleri arasında yer almakta olup, suç ve ceza konusunda kanunilik ilkesi, adalet ve eşitlik ilkesi ile birlikte bu korunma kapsamında değerlendirilebilir.

2. **Şartlar / açıklama:**  
Mülkiyet ilkesi, genellikle medeni hukukta (örneğin Türk Medeni Kanunu m. 685) doğrudan düzenlenirken, ceza hukukunda doğrudan bir ""mülkilik ilkesi"" ifade edilmemiştir. Ancak, ceza hukukunun temel ilkeleri arasında yer alan kanunilik ilkesi (Madde 2), adalet ve eşitlik ilkesi (Madde 3), ve kişisel hakların korunması (Madde 25 ve 26) mülkiyetin korunmasıyla ilişkilendirilebilir. Bu ilkeler, kişilerin haklarına zarar veren fiillerin cezalandırılmasında temel oluşturmaktadır.

3. **Dayanak maddeler:**  
- **TÜRK CEZA KANUNU m.2** – Kanunilik ilkesi  
- **TÜRK CEZA KANUNU m.3** – Adalet ve eşitlik ilkesi  
- **TÜRK CEZA KANUNU m.25** – Hakların korunması  
- **TÜRK CEZA KANUNU m.26** – Hakların kullanılması ve rızanın etkisi  
- **TÜRKİYE CUMHURİYETİ ANAYASASI m.38** – Ceza ve ceza mahkumiyeti ilkeleri  

4. **Not / sınırlılık:**  
Mülkiyet ilkesi doğrudan ceza hukukunda ifade edilmemiştir. Ancak, mülkiyetin korunması, ceza hukukunun genel ilkeleri ve Anayasa’nın ilgili hükümleriyle dolaylı olarak desteklenmektedir.",1_5_5237_MADDE_8,1_5_5237_MADDE_26; 1_5_5237_MADDE_2; 1_5_5275_MADDE_6; 1_5_2709_MADDE_38; 1_5_5237_MADDE_25; 1_5_5237_MADDE_1; 1_5_5237_MADDE_3; 1_5_5237_MADDE_20; 1_5_5237_MADDE_7; 1_5_4721_MADDE_685,TÜRK CEZA KANUNU m.26 | TÜRK CEZA KANUNU m.2 | CEZA VE GÜVENLİK TEDBİRLERİNİN İNFAZI HAKKINDA KANUN m.6 | TÜRKİYE CUMHURİYETİ ANAYASASI m.38 | TÜRK CEZA KANUNU m.25 | TÜRK CEZA KANUNU m.1 | TÜRK CEZA KANUNU m.3 | TÜRK CEZA KANUNU m.20 | TÜRK CEZA KANUNU m.7 | TÜRK MEDENİ KANUNU m.685,0.0111111111111111,0.0111111111111111,0.0,1.0,1.0,0.0,retrieval_miss
Q175,Ticaret Hukuku,medium,Şirketlerin ticaret siciline tescili neden önemlidir?,"Tescil, kanunda öngörülen hâllerde kurucu veya açıklayıcı etki doğurur ve üçüncü kişilere karşı ileri sürülebilirliği sağlar.","1. **Kısa cevap**  
Şirketlerin ticaret siciline tescili, tüzel kişiliğin kazanılması ve şirketin hukuki varlık olarak tanınması için gereklidir. Ayrıca, tescil olmadan yapılan işlemlerden kurucular ve diğer kişiler şahsen sorumlu olabilir.

2. **Şartlar / açıklama**  
Ticaret siciline tescil olmadan şirket, hukuki anlamda bir tüzel kişilik kazanamaz. Bu durumda şirket adına yapılan işlemler ve taahhütlerden kurucular şahsen ve müteselsilen sorumlu olur. Tescil, şirketin resmi olarak varlık kazanması ve ticari faaliyetlerini yürütebilmesi için şarttır. Ayrıca, tescil ile şirketin ticaret unvanı, sermayesi, temsil şekli gibi bilgiler kamuoyuyla paylaşılarak şeffaflık sağlanır.

3. **Dayanak maddeler**  
- **TÜRK TİCARET KANUNU m.588/1**: ""Şirket, ticaret siciline tescil ile tüzel kişilik kazanır.""  
- **TÜRK TİCARET KANUNU m.355/1**: ""Şirket ticaret siciline tescil ile tüzel kişilik kazanır.""  
- **TÜRK TİCARET KANUNU m.355/2**: ""Tescilden önce şirket adına işlem yapanlar ve taahhütlere girişenler, bu işlem ve taahhütlerden şahsen ve müteselsilen sorumludurlar.""

4. **Not / sınırlılık**  
Tescil işlemi, şirketin kurulmasıyla birlikte yapılması gereken zorunlu bir adımdır. Tescil yapılmazsa şirket, hukuki anlamda varlık kazanamaz ve ticari işlemlerle ilgili sorumluluklar kuruculara ait olur. Bu durum, şirketin ticari güvenilirliğini ve hukuki statüsünü etkiler.",1_5_6102_MADDE_30,1_5_6102_MADDE_588; 1_5_6102_MADDE_355; 1_5_6102_MADDE_354; 1_5_6103_MADDE_16; 1_5_6102_MADDE_40; 1_5_6102_MADDE_373; 1_5_6102_MADDE_215; 1_5_6102_MADDE_587; 1_5_6102_MADDE_586; 1_5_6102_MADDE_152,TÜRK TİCARET KANUNU m.588 | TÜRK TİCARET KANUNU m.355 | TÜRK TİCARET KANUNU m.354 | TÜRK TİCARET KANUNUNUN YÜRÜRLÜĞÜ VE UYGULAMA ŞEKLİ HAKKINDA KANUN m.16 | TÜRK TİCARET KANUNU m.40 | TÜRK TİCARET KANUNU m.373 | TÜRK TİCARET KANUNU m.215 | TÜRK TİCARET KANUNU m.587 | TÜRK TİCARET KANUNU m.586 | TÜRK TİCARET KANUNU m.152,0.0204081632653061,0.0204081632653061,0.0,1.0,0.0,0.0,retrieval_miss
Q146,Ceza Hukuku,easy,İştirak hâlinde azmettirme neyi ifade eder?,"Azmettirme, belli bir suçu işleme kararı bulunmayan kişide suç işleme kararını oluşturmaktır.","1. **Kısa cevap:**  
İştirak hâlinde azmettirme, bir fiilin işlenmesine başkasının kasten ve hukuka aykırı olarak katılması ve bu fiilin suç teşkil etmesi durumunda, azmettirenin de fail olarak sorumlu tutulması anlamına gelir.

2. **Şartlar / açıklama:**  
İştirak hâlinde azmettirme, bir fiilin işlenmesine başkasının kasten katılması ve bu fiilin suç teşkil etmesi durumunda meydana gelir. Azmettiren kişi, fiilin işlenmesine katıldığı ölçüde fail olarak sorumlu tutulur. Suçun işlenişine iştirak eden herkes, kendi kusurlu fiiline göre cezalandırılır. Ayrıca, suçun en az teşebbüs aşamasına ulaşmış olması gerekir.

3. **Dayanak maddeler:**  
- **TÜRK CEZA KANUNU m.40/1:** ""Suça iştirak için kasten ve hukuka aykırı işlenmiş bir fiilin varlığı yeterlidir. Suçun işlenişine iştirak eden her kişi, diğerinin cezalandırılmasını önleyen kişisel nedenler göz önünde bulundurulmaksızın kendi kusurlu fiiline göre cezalandırılır.""  
- **TÜRK CEZA KANUNU m.37/2:** ""Suçun işlenmesinde bir başkasını araç olarak kullanan kişi de fail olarak sorumlu tutulur.""

4. **Not / sınırlılık:**  
Azmettirme yalnızca suçun işlenmesine iştirak edildiğinde söz konusu olur. Kabahatler kanununda azmettirme kavramı doğrudan geçerli değildir. Ayrıca, özel faillik niteliği taşıyan kişilerle ilgili durumlarda özel hükümler uygulanabilir.",1_5_5237_MADDE_38,1_5_5237_MADDE_40; 1_5_5237_MADDE_41; 1_5_6102_MADDE_1064; 1_5_5326_MADDE_14; 1_5_6102_MADDE_197; 1_5_5237_MADDE_37; 1_5_6102_MADDE_201; 1_5_6102_MADDE_1083; 1_5_6102_MADDE_196; 1_5_6102_MADDE_1081,TÜRK CEZA KANUNU m.40 | TÜRK CEZA KANUNU m.41 | TÜRK TİCARET KANUNU m.1064 | KABAHATLER KANUNU m.14 | TÜRK TİCARET KANUNU m.197 | TÜRK CEZA KANUNU m.37 | TÜRK TİCARET KANUNU m.201 | TÜRK TİCARET KANUNU m.1083 | TÜRK TİCARET KANUNU m.196 | TÜRK TİCARET KANUNU m.1081,0.032258064516129,0.032258064516129,0.0,1.0,0.0,0.0,retrieval_miss
Q065,Borçlar Hukuku,medium,Hakim cezai şartı hangi durumda indirebilir?,"Hakim, aşırı gördüğü cezai şartı kendiliğinden indirebilir.","1. **Kısa cevap**  
Hakim, cezai şartı, suçtan sonra failin gösterdiği pişmanlık, zararın giderilmesi, suçun niteliği ve failin durumu gibi faktörlere göre takdiri olarak indirebilir.

2. **Şartlar / açıklama**  
Hakim, cezai şartı indirme kararı alırken, failin suçtan sonra gösterdiği pişmanlık, mağdurun zararının giderilmesi, failin sosyal durumu, suçun işlenme biçimi ve ağırlığı gibi faktörleri göz önünde bulundurur. Bu karar, kanunda açıkça belirtilmiş genel ilkeler çerçevesinde, hakimin takdir yetkisiyle verilir. Cezai şartın indirilmesi, özellikle zararın aynen iade edilmesi veya tazmin edilmesi, etkin pişmanlık gösterilmesi gibi durumlarda mümkün olabilir.

3. **Dayanak maddeler**  
- TÜRK CEZA KANUNU m.248  
- TÜRK CEZA KANUNU m.62  
- TÜRK CEZA KANUNU m.61  
- TÜRK CEZA KANUNU m.110  
- TÜRK CEZA KANUNU m.293  
- TÜRK CEZA KANUNU m.29  
- TÜRK CEZA KANUNU m.50  

4. **Not / sınırlılık**  
Cezai şartın indirilmesi, kanunda açıkça belirtilmiş özel durumlar (örneğin zararın iadesi, etkin pişmanlık) dışında genel olarak hakimin takdir yetkisiyle yapılır. Ancak, bu yetki sınırlıdır ve failin duruşmadaki şekli tutumu gibi nedenler dikkate alınmaz (bkz. TÜRK CEZA KANUNU m.62/2). Ayrıca, cezaların artırılması veya eksiltilmesi, kanunda açıkça yazılı olmayan durumlarda yapılamaz (bkz. TÜRK CEZA KANUNU m.6",1_5_6098_MADDE_182,1_5_5237_MADDE_248; 1_5_5237_MADDE_62; 1_5_5237_MADDE_61; 1_5_5275_MADDE_100; 1_5_5237_MADDE_63; 1_5_5237_MADDE_110; 1_5_5237_MADDE_293; 1_5_5237_MADDE_29; 1_5_5237_MADDE_51; 1_5_5237_MADDE_50,TÜRK CEZA KANUNU m.248 | TÜRK CEZA KANUNU m.62 | TÜRK CEZA KANUNU m.61 | CEZA VE GÜVENLİK TEDBİRLERİNİN İNFAZI HAKKINDA KANUN m.100 | TÜRK CEZA KANUNU m.63 | TÜRK CEZA KANUNU m.110 | TÜRK CEZA KANUNU m.293 | TÜRK CEZA KANUNU m.29 | TÜRK CEZA KANUNU m.51 | TÜRK CEZA KANUNU m.50,0.0423280423280423,0.0423280423280423,0.0,1.0,0.0,0.0,retrieval_miss
Q040,Ticaret Hukuku,medium,Tacir olmanın temel sonuçları (hükümleri) nelerdir?,"Tacir; her türlü borcu için iflasa tabi olur, ticaret unvanı seçip kullanmak, ticari işletmesini tescil ettirmek ve gerekli ticari defterleri tutmakla yükümlüdür. Ayrıca tüm ticari faaliyetlerinde basiretli bir iş adamı gibi davranmak zorundadır.","Cevap:

1. **Kısa cevap:**  
Verilen mevzuat bağlamında, tacir olmanın temel sonuçları veya hukuki hükümleri doğrudan ele alınmamıştır. Bağlamda yer alan kaynaklar, tacir olmanın sonuçlarıyla değil, tacirlerin cezai sorumluluğu, taksirli davranışlar ve bazı ticari faaliyetlerle ilgili idari yaptırımlarla ilgili hükümleri içermektedir.

2. **Şartlar / açıklama:**  
Tacir olmanın genel hukuki sonuçları (örneğin ticari işletmenin kurulması, ticari işletmenin yasal yükümlülükleri, ticari faaliyetlerdeki özel sorumluluklar vb.) verilen mevzuat metinlerinde yer almamaktadır. Bağlamda yer alan maddeler, tacirlerin taksirli davranışları sonucu cezai sorumlulukları, iflas durumlarında cezai yaptırımlar ve bazı ticari faaliyetlerle ilgili idari yaptırımları içermektedir.

3. **Dayanak maddeler:**  
- TÜRK CEZA KANUNU m.162  
- TÜRK CEZA KANUNU m.22  
- TİCARETTE TAĞŞİŞİN MEN'İ VE İHRACATIN MURAKABESİ VE KORUNMASI HAKKINDA KANUN m.6  
- TÜRK CEZA KANUNU m.171  
- TÜRK CEZA KANUNU m.85  
- TÜRK CEZA KANUNU m.89  
- TÜRK TİCARET KANUNU m.14  
- TÜRK CEZA KANUNU m.53  
- TÜRK CEZA KANUNU m.105  
- TÜRK CEZA KANUNU m.27  

4. **Not / sınırlılık:**  
Tacir olmanın temel sonuçları (örneğin ticari işletmenin kurulması, ticari faaliyetlerdeki özel hukuki statü,",1_5_6102_MADDE_18,1_5_5237_MADDE_162; 1_5_5237_MADDE_22; 1_3_1705_MADDE_6; 1_5_5237_MADDE_171; 1_5_5237_MADDE_85; 1_5_5237_MADDE_89; 1_5_6102_MADDE_14; 1_5_5237_MADDE_53; 1_5_5237_MADDE_105; 1_5_5237_MADDE_27,TÜRK CEZA KANUNU m.162 | TÜRK CEZA KANUNU m.22 | TİCARETTE TAĞŞİŞİN MEN'İ VE İHRACATIN MURAKABESİ VE KORUNMASI HAKKINDA KANUN m.6 | TÜRK CEZA KANUNU m.171 | TÜRK CEZA KANUNU m.85 | TÜRK CEZA KANUNU m.89 | TÜRK TİCARET KANUNU m.14 | TÜRK CEZA KANUNU m.53 | TÜRK CEZA KANUNU m.105 | TÜRK CEZA KANUNU m.27,0.0492610837438423,0.0492610837438423,0.0,1.0,0.0,0.0,retrieval_miss
Q062,Borçlar Hukuku,medium,Hata veya hile sebebiyle iptal hakkı hangi süre içinde kullanılmalıdır?,"Yanılma veya aldatmayı öğrenen taraf, bir yıl içinde sözleşmeyle bağlı olmadığını bildirmez veya verdiği şeyi geri istemezse sözleşmeyi onamış sayılır.","1. **Kısa cevap**  
Hata veya hile sebebiyle iptal hakkı, genellikle iptal sebebini öğrenildiği tarihten itibaren **altı ay** ve her hâlde **beş yıl** içinde kullanılmalıdır. Ancak, duruma göre farklı süreler de söz konusu olabilir.

2. **Şartlar / açıklama**  
İptal hakkının kullanılması, iptal sebebini öğrenildiği tarihten itibaren bir süreyle sınırlıdır. Bu süre, genel olarak **altı ay** olmakla birlikte, bu süre **beş yıl** ile sınırlıdır. Bu süreler, hukuka veya ahlaka aykırı yollarla yapılan ihalenin iptal edilmesi gibi özel durumlarda farklılık gösterebilir. Ancak, verilen bağlamda hata veya hile sebebiyle iptal hakkının genel süresi, **altı ay** ve **beş yıl** olarak belirtilmiştir.

3. **Dayanak maddeler**  
- **TÜRK MEDENİ KANUNU m.152**  
  ""İptal davası açma hakkı, iptal sebebinin öğrenildiği veya korkunun etkisinin ortadan kalktığı tarihten başlayarak altı ay ve her hâlde evlenmenin üzerinden beş yıl geçmekle düşer.""

4. **Not / sınırlılık**  
Verilen bağlamda, hata veya hile sebebiyle iptal hakkının süresi doğrudan belirtilmemiştir. Ancak, genel iptal süresi olarak **altı ay** ve **beş yıl** sürelerine yer verilmiştir. Bu süreler, hata veya hile gibi özel durumlarda da geçerli olabilir. Daha özel bir durum söz konusuysa, ilgili mevzuattan ayrı bir süre belirtilebilir.",1_5_6098_MADDE_39,1_5_6098_MADDE_281; 1_5_4721_MADDE_152; 1_5_4721_MADDE_559; 1_5_6100_MADDE_376; 1_5_6102_MADDE_445; 1_5_6769_MADDE_26; 1_5_6102_MADDE_1449; 1_5_6100_MADDE_439; 1_5_6098_MADDE_28; 1_5_6102_MADDE_448,TÜRK BORÇLAR KANUNU m.281 | TÜRK MEDENİ KANUNU m.152 | TÜRK MEDENİ KANUNU m.559 | HUKUK MUHAKEMELERİ KANUNU m.376 | TÜRK TİCARET KANUNU m.445 | SINAİ MÜLKİYET KANUNU m.26 | TÜRK TİCARET KANUNU m.1449 | HUKUK MUHAKEMELERİ KANUNU m.439 | TÜRK BORÇLAR KANUNU m.28 | TÜRK TİCARET KANUNU m.448,0.0495049504950495,0.0396039603960396,0.0,1.0,0.0,0.0,retrieval_miss
Q132,Borçlar Hukuku,medium,Sözleşmede icap hangi unsuru taşımalıdır?,"İcap, sözleşmenin kurulması için gerekli esaslı noktaları içermeli ve bağlanma iradesini göstermelidir.","1. **Kısa cevap**  
Sözleşmede icap, tarafların iradelerinin karşılıklı ve birbirine uygun olarak açıklanmasını taşımalıdır.

2. **Şartlar / açıklama**  
Sözleşmenin kurulabilmesi için tarafların iradelerinin karşılıklı ve uyumlu bir şekilde açıklanmış olması gerekir. Bu, bir taraftan gelen öneriye diğer tarafın onay vermesiyle gerçekleşir. İrade açıklaması açık veya örtülü olabilir. Tarafların iradeleri birbiriyle uyumluysa ve karşılıklı bir anlayış sağlanmışsa, bu durum sözleşmenin kurulduğunu gösterir.

3. **Dayanak maddeler**  
- **TÜRK BORÇLAR KANUNU m.1**  
  ""Sözleşme, tarafların iradelerini karşılıklı ve birbirine uygun olarak açıklamalarıyla kurulur. İrade açıklaması, açık veya örtülü olabilir.""

4. **Not / sınırlılık**  
Bağlamda, genel sözleşmelerin kurulmasıyla ilgili temel hukuki kavramlar yer almakta olup, özel hukuk düzenlemelerinde sözleşmelerin içeriğine ilişkin ayrıntılı şartlar da yer alabilmektedir. Ancak, soruya doğrudan cevap veren temel dayanak, Türk Borçlar Kanunu’nun 1. maddesidir.",1_5_6098_MADDE_8,1_5_6098_MADDE_1; 1_5_4735_MADDE_7; 1_5_5738_MADDE_21; 1_5_6098_MADDE_13; 1_5_6098_MADDE_2; 1_5_6098_MADDE_6; 1_5_4721_MADDE_204; 1_5_6098_MADDE_19; 1_5_6098_MADDE_20; 1_5_6098_MADDE_206,TÜRK BORÇLAR KANUNU m.1 | KAMU İHALE SÖZLEŞMELERİ KANUNU m.7 | SPOR MÜSABAKALARINA DAYALI SABİT İHTİMALLİ VE MÜŞTEREK BAHİS OYUNLARININ ÖZEL HUKUK TÜZEL KİŞİLERİNE YAPTIRILMASI HAKKINDA KANUN m.21 | TÜRK BORÇLAR KANUNU m.13 | TÜRK BORÇLAR KANUNU m.2 | TÜRK BORÇLAR KANUNU m.6 | TÜRK MEDENİ KANUNU m.204 | TÜRK BORÇLAR KANUNU m.19 | TÜRK BORÇLAR KANUNU m.20 | TÜRK BORÇLAR KANUNU m.206,0.0583941605839416,0.0437956204379562,0.0,1.0,0.0,0.0,retrieval_miss
Q155,Ceza Muhakemesi Hukuku,hard,Koruma tedbirleri nedeniyle tazminat isteme hakkı hangi durumda doğar?,Kanunda belirtilen koruma tedbirlerinin haksız veya hukuka aykırı uygulanması hâlinde kişiler maddi ve manevi tazminat isteyebilir.,"1. **Kısa cevap:**  
Koruma tedbirleri nedeniyle tazminat isteme hakkı, tedbirin haksız olduğu anlaşılması, tedbir kararı kendiliğinden veya itiraz üzerine kaldırılması durumunda doğar.

2. **Şartlar / açıklama:**  
Tazminat isteme hakkı, lehine koruma tedbir kararı verilen bir taraf için, aşağıdaki durumlardan birinin gerçekleşmesiyle doğar:  
- Tedbirin haksız olduğu anlaşılır.  
- Tedbir kararı kendiliğinden kalkar.  
- Tedbir kararı hakkında yapılan itiraz sonucu tedbir kararı kaldırılır.  

Bu durumlarda, tedbir nedeniyle zarara uğramış olan taraf, tazminat isteme hakkına sahiptir. Tazminat davası, esas hakkındaki dava mahkemesinde açılır ve tazminat isteme hakkı, tedbir kararının kesinleşmesi veya kalkmasından itibaren bir yıl içinde zamanaşımına uğrar.

3. **Dayanak maddeler:**  
- **HUKUK MUHAKEMELERİ KANUNU m.399**

4. **Not / sınırlılık:**  
Verilen bağlamda sadece hukuk muhakemeleri kanununun 399. maddesi tazminat isteme hakkının doğuşunu düzenlemektedir. Diğer kaynaklar, farklı tazminat türlerini veya özel durumları düzenlediğinden, bu soruya doğrudan uygulanamazlar.",1_5_5271_MADDE_141,1_5_6100_MADDE_399; 1_5_6098_MADDE_439; 1_5_7091_MADDE_9; 1_5_5271_MADDE_142; 1_5_2330_MADDE_2; 1_5_6102_MADDE_1448; 1_5_2920_MADDE_127; 1_5_5510_MADDE_21; 1_5_2453_MADDE_3; 1_5_6331_MADDE_13,HUKUK MUHAKEMELERİ KANUNU m.399 | TÜRK BORÇLAR KANUNU m.439 | OLAĞANÜSTÜ HAL KAPSAMINDA ALINMASI GEREKEN TEDBİRLER HAKKINDA KANUN HÜKMÜNDE KARARNAMENİN KABUL EDİLMESİNE DAİR KANUN m.9 | CEZA MUHAKEMESİ KANUNU m.142 | NAKDİ TAZMİNAT VE AYLIK BAĞLANMASI HAKKINDA KANUN m.2 | TÜRK TİCARET KANUNU m.1448 | TÜRK SİVİL HAVACILIK KANUNU m.127 | SOSYAL SİGORTALAR VE GENEL SAĞLIK SİGORTASI KANUNU m.21 | YURT DIŞINDA GÖREVLİ PERSONELE NAKTİ TAZMİNAT VERİLMESİ VE AYLIK BAĞLANMASI HAKKINDA KANUN m.3 | İŞ SAĞLIĞI VE GÜVENLİĞİ KANUNU m.13,0.0684931506849315,0.0684931506849315,0.0,1.0,0.0,0.0,retrieval_miss
Q137,Borçlar Hukuku,medium,Borcun naklinde alacaklının rızası gerekli midir?,"Borcun üstlenilmesi, alacaklı ile üstlenen arasında veya borçlu ile üstlenen arasında yapılan ve alacaklının onayını gerektiren işlemlerle gerçekleşir; alacaklının rızası esastır.","1. **Kısa cevap:**  
Alacaklının rızası genellikle gerekli değildir; ancak bazı özel durumlarda rıza aranabilir.

2. **Şartlar / açıklama:**  
Alacağın üçüncü kişilere devri, genel olarak alacaklının rızasını gerektirmemektedir. Ancak, alacakın devredilebilirliği bazı özel durumlarda sınırlanabilir. Örneğin, takas gibi bazı işlemlerde alacaklının rızası gerekli olabilir. Ayrıca, alacaklının rızasız devir durumunda savunmaları sınırlı olabilir.

3. **Dayanak maddeler:**  
- **TÜRK BORÇLAR KANUNU m.183:** Alacaklı, borçlunun rızasını aramaksızın alacağını üçüncü bir kişiye devredebilir.  
- **TÜRK BORÇLAR KANUNU m.185:** Alacağın devir özel bir şekle ve önceki alacaklının rızasını açıklamasına gerek olmaksızın üçüncü kişilere karşı ileri sürülebilir.  
- **TÜRK BORÇLAR KANUNU m.144:** Belirli alacaklar alacaklıların rızasıyla takas edilebilir.  
- **TÜRK BORÇLAR KANUNU m.196:** Alacaklı, iç veya dış üstlenme sözleşmesini kabul edebilir; kabul açık veya örtülü olabilir.  

4. **Not / sınırlılık:**  
Alacağın devri genelde alacaklının rızasını gerektirmez; ancak takas gibi özel durumlarda alacaklının rızası aranabilir. Ayrıca, alacaklının rıza göstermemesi durumunda, alacak devredilmiş sayılır ve alacaklının savunmaları sınırlı olabilir.",1_5_6098_MADDE_195,1_5_6098_MADDE_185; 1_5_4721_MADDE_961; 1_5_6098_MADDE_196; 1_5_6098_MADDE_144; 1_5_6098_MADDE_183; 1_5_6098_MADDE_143; 1_5_6098_MADDE_198; 1_5_6098_MADDE_197; 1_5_4721_MADDE_821; 1_3_2004_MADDE_120,TÜRK BORÇLAR KANUNU m.185 | TÜRK MEDENİ KANUNU m.961 | TÜRK BORÇLAR KANUNU m.196 | TÜRK BORÇLAR KANUNU m.144 | TÜRK BORÇLAR KANUNU m.183 | TÜRK BORÇLAR KANUNU m.143 | TÜRK BORÇLAR KANUNU m.198 | TÜRK BORÇLAR KANUNU m.197 | TÜRK MEDENİ KANUNU m.821 | İCRA VE İFLAS KANUNU m.120,0.0710059171597633,0.0591715976331361,0.0,1.0,0.0,0.0,retrieval_miss
Q058,Anayasa Hukuku,hard,Anayasa Mahkemesi'ne itiraz yolu ile başvurulabilmesi için hangi koşullar gerekir?,Bir davaya bakmakta olan mahkemenin uygulanacak kanun veya Cumhurbaşkanlığı kararnamesi hükmünü Anayasaya aykırı görmesi ya da taraflardan birinin ciddi aykırılık iddiasını haklı bulması gerekir.,"**Cevap:**

1. **Kısa cevap**  
Anayasa Mahkemesi'ne itiraz yolu ile başvurulabilmesi için başvuruda yer alan kanun hükmüne ilişkin önce bir itiraz başvurusunun yapılmamış olması ve bu hükmün Anayasa Mahkemesi tarafından reddedilmemiş olması gerekir.

2. **Şartlar / açıklama**  
Anayasa Mahkemesi'ne itiraz yolu ile başvurulabilmesi için aşağıdaki koşulların yerine getirilmesi gerekir:

- Aynı kanun hükmüne ilişkin olarak daha önce bir itiraz başvurusu yapılmamış olmalıdır.
- Anayasa Mahkemesi tarafından bu hükmün Anayasaya aykırılığı iddiasıyla reddedilmiş bir karar verilmemiş olmalıdır.
- Mahkemenin işin esasına girerek verdiği ret kararının Resmî Gazetede yayımlanmasından itibaren 10 yıl geçmemiş olmalıdır. Bu süre geçmişse, itiraz başvurusu yapılamaz.

3. **Dayanak maddeler**  
- ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.41

4. **Not / sınırlılık**  
Bağlamda sadece itiraz başvurularına ilişkin genel bir kural yer almakta olup, bireysel başvurular veya iptal davaları ile ilgili diğer koşullar bu bağlamda yer almamaktadır.",1_5_2709_MADDE_152,1_5_6216_MADDE_41; 1_5_6216_MADDE_45; 1_5_6216_MADDE_40; 1_5_2709_MADDE_148; 1_5_6216_MADDE_48; 1_5_6216_MADDE_38; 1_5_6216_MADDE_47; 1_5_6216_MADDE_43; 1_5_6216_MADDE_46; 1_5_6216_MADDE_39,ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.41 | ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.45 | ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.40 | TÜRKİYE CUMHURİYETİ ANAYASASI m.148 | ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.48 | ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.38 | ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.47 | ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.43 | ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.46 | ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.39,0.0745341614906832,0.0496894409937888,0.0,1.0,0.0,0.0,retrieval_miss
