question_id,topic,difficulty,question,gold_answer,generated_answer,gold_article_keys,retrieved_article_keys,retrieved_citations,token_f1,rouge_l,retrieval_gold_available,citation_present,citation_gold_match,grounded_citation_score,error_type_auto
Q067,Borçlar Hukuku,hard,Aşırı yararlanma (gabin) sebebiyle iptal hakkı hangi sürelerde kullanılabilir?,"Zarar gören, düşüncesizlik veya deneyimsizliğini öğrendiği tarihten başlayarak bir yıl ve her hâlde sözleşmenin kurulduğu tarihten başlayarak beş yıl içinde bu hakkını kullanabilir.","1. Aşırı yararlanma (gabin) sebebiyle iptal hakkı, 15 gün içinde kullanılabilir.
2. Verilen mevzuat, 15 gün içinde kullanılabilir.
3. Dayanak maddeler: AMME ALACAKLARININ TAHSİL USULÜ HAKKINDA KANUN m.15
4. Not / sınırlılık:  


**Explanation:**

The provided text states that the right to appeal for cancellation of an agreement is available within 15 days of the date the agreement was entered into. 


**Key Points:**

* **Article Key:**  The article key identifies the specific article within the law that provides the information.
* **URL:** The URL provides the link to the specific law or document.
* **Madde:** The ""Madde"" refers to the specific article or section within the law.
* **Metin:** The ""Metin"" refers to the specific text within the law. 
* **Kanun:** The ""Kanun"" refers to the specific law or document. 
* **İtiraz:** The ""İtiraz"" refers to the right to appeal. 
* **İptal:** The ""İptal"" refers to the cancellation of an agreement. 
* **Hakem:** The ""Hakem"" refers to the judge. 
* **Tahkim:** The ""Tahkim"" refers to the process of resolving a dispute through a court. 
* **ALTINCI BÖLÜM:** The ""ALTINCI BÖLÜM"" refers to the ""Second Section"" of the document. 
* **İptal Davası:** The ""İptal Davası"" refers to the right to appeal for cancellation of an agreement. 
* **",1_5_6098_MADDE_28,1_3_6183_MADDE_15; 1_5_6362_MADDE_41; 1_5_4686_MADDE_15; 1_5_6736_GEÇİCİ_MADDE_2; 1_5_6769_MADDE_9; 1_3_6245_GEÇİCİ_MADDE_6; 1_3_2004_MADDE_283; 1_5_4458_MADDE_7; 1_5_6098_MADDE_281; 1_3_2004_MADDE_67,AMME ALACAKLARININ TAHSİL USULÜ HAKKINDA KANUN m.15 | SERMAYE PİYASASI KANUNU m.41 | MİLLETLERARASI TAHKİM KANUNU m.15 | BAZI ALACAKLARIN YENİDEN YAPILANDIRILMASINA İLİŞKİN KANUN geçici m.2 | SINAİ MÜLKİYET KANUNU m.9 | HARCIRAH KANUNU geçici m.6 | İCRA VE İFLAS KANUNU m.283 | GÜMRÜK KANUNU m.7 | TÜRK BORÇLAR KANUNU m.281 | İCRA VE İFLAS KANUNU m.67,0.0089285714285714,0.0089285714285714,0.0,1.0,0.0,0.0,retrieval_miss
Q011,Borçlar Hukuku,medium,Kira sözleşmelerinde kiracının temerrüdü nedeniyle tahliye şartları nelerdir?,"Kiracının temerrüdünde kiraya veren, muaccel kira borcu için kiracıya yazılı süre verir ve bu sürede ödeme yapılmazsa sözleşmeyi feshedeceğini bildirir. Konut ve çatılı işyeri kiralarında bu süre en az otuz gündür.","1. Kira sözleşmesinde kiracının temerrüdü nedeniyle tahliye şartları, kiracının temerrüde sebebiyle tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahliye emri ile ilgili olarak, tahli",1_5_6098_MADDE_315,1_3_2004_MADDE_272; 1_5_6098_MADDE_316; 1_5_6098_MADDE_355; 1_3_2004_MADDE_269; 1_5_6098_MADDE_342; 1_5_2828_GEÇİCİ_MADDE_7; 1_5_6098_MADDE_314; 1_3_2004_MADDE_275; 1_5_2828_GEÇİCİ_MADDE_2; 1_5_6098_MADDE_352,İCRA VE İFLAS KANUNU m.272 | TÜRK BORÇLAR KANUNU m.316 | TÜRK BORÇLAR KANUNU m.355 | İCRA VE İFLAS KANUNU m.269 | TÜRK BORÇLAR KANUNU m.342 | SOSYAL HİZMETLER KANUNU geçici m.7 | TÜRK BORÇLAR KANUNU m.314 | İCRA VE İFLAS KANUNU m.275 | SOSYAL HİZMETLER KANUNU geçici m.2 | TÜRK BORÇLAR KANUNU m.352,0.0168067226890756,0.0084033613445378,0.0,0.0,0.0,0.0,retrieval_miss
Q012,Borçlar Hukuku,easy,Cezai şartın fahiş (aşırı) olması durumunda hakimin müdahale yetkisi nedir?,"Cezai şart fahiş ise hâkim, istem üzerine veya şartları varsa kendiliğinden indirim yapabilir. İndirim, dürüstlük kuralı ve somut olayın özellikleri gözetilerek belirlenir.","1. Hakim, fahiş şartın olması halinde ceza şartının uygulanması için yetki sahibi değildir.
2. Bu, Kabahateler Kanunu'nun 28. maddesinin 1. bendinde belirtilen ""müdahale yetkisi""nin açıkça belirtildiği bir durumdur.
3. Kabahateler Kanunu'nun 28. maddesi, fahiş şartın olması halinde müdahale yetkisi hakkında açık bir bilgi sunmaktadır.
4. Bu, sadece Kabahateler Kanunu'nun 28. maddesinin 1. bendinde belirtilen ""müdahale yetkisi""nin açıkça belirtildiği bir durumdur.


**Not:** Bu cevap, verilen mevzuat bağlamına dayanarak verilen soruyu cevaplamaktadır.",1_5_6098_MADDE_182,1_5_5326_MADDE_28; 1_5_1475_MADDE_111; 1_5_3516_GEÇİCİ_MADDE_2; 1_5_5237_MADDE_53; 1_5_5651_MADDE_8; 1_5_5271_GEÇİCİ_MADDE_1; 1_5_5320_MADDE_8; 1_5_3091_MADDE_15; 1_5_5271_MADDE_286; 1_5_6100_MADDE_68,KABAHATLER KANUNU m.28 | İŞ KANUNU m.111 | ÖLÇÜLER VE AYAR KANUNU geçici m.2 | TÜRK CEZA KANUNU m.53 | İNTERNET ORTAMINDA YAPILAN YAYINLARIN DÜZENLENMESİ VE BU YAYINLAR YOLUYLA İŞLENEN SUÇLARLA MÜCADELE EDİLMESİ HAKKINDA KANUN m.8 | CEZA MUHAKEMESİ KANUNU geçici m.1 | CEZA MUHAKEMESİ KANUNUNUN YÜRÜRLÜK VE UYGULAMA ŞEKLİ HAKKINDA KANUN m.8 | TAŞINMAZ MAL ZİLYEDLİĞİNE YAPILAN TECAVÜZLERİN ÖNLENMESİ HAKKINDA KANUN m.15 | CEZA MUHAKEMESİ KANUNU m.286 | HUKUK MUHAKEMELERİ KANUNU m.68,0.0202020202020202,0.0202020202020202,0.0,0.0,0.0,0.0,retrieval_miss
Q080,Ceza Hukuku,easy,Suçta ve cezada kanunilik ilkesi neyi ifade eder?,Kanunun açıkça suç saymadığı bir fiil için kimseye ceza verilemez ve güvenlik tedbiri uygulanamaz.,"1. Suçta ve cezada kanunilik ilkesi, suçun kanuni tanımındaki unsurların bilerek ve istenerek gerçekleştirilmesi gerektiğini ifade eder.
2. Bu ilke, suçun oluşması kastın varlığına bağlı olduğunu ve kastın, suçun kanuni tanımındaki unsurların gerçekleşebileceğini öngörmesine rağmen, fiili işlemesi halinde olası kast vardır.
3. Bu ilke, suçun kanuni tanımındaki unsurların gerçekleşebileceğini öngörmesine rağmen, fiili işlemesi halinde olası kast vardır. Bu kast, suçun kanuni tanımındaki unsurların gerçekleşebileceğini öngörmesine rağmen, fiili işlemesi halinde olası kast vardır.
4. Not: Bu cevap, verilen mevzuat bağlamına dayanarak verilen cevabın temelini oluşturmaktadır.",1_5_5237_MADDE_2,1_5_5237_MADDE_1; 1_5_477_MADDE_29; 1_5_5275_MADDE_6; 1_5_5402_MADDE_4; 1_5_5237_MADDE_21; 1_5_6701_MADDE_2; 1_5_6087_MADDE_1; 1_5_5275_MADDE_37; 1_5_5549_MADDE_2; 1_5_6216_MADDE_1,"TÜRK CEZA KANUNU m.1 | DİSİPLİN MAHKEMELERİ KURULUŞU, YARGILAMA USULÜ VE DİSİPLİN SUÇ VE CEZALARI HAKKINDA KANUN m.29 | CEZA VE GÜVENLİK TEDBİRLERİNİN İNFAZI HAKKINDA KANUN m.6 | DENETİMLİ SERBESTLİK HİZMETLERİ KANUNU m.4 | TÜRK CEZA KANUNU m.21 | TÜRKİYE İNSAN HAKLARI VE EŞİTLİK KURUMU KANUNU m.2 | HÂKİMLER VE SAVCILAR KURULU KANUNU m.1 | CEZA VE GÜVENLİK TEDBİRLERİNİN İNFAZI HAKKINDA KANUN m.37 | SUÇ GELİRLERİNİN AKLANMASININ ÖNLENMESİ HAKKINDA KANUN m.2 | ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.1",0.0204081632653061,0.0204081632653061,0.0,0.0,1.0,0.0,retrieval_miss
Q152,Ceza Muhakemesi Hukuku,medium,Arama kararı verilebilmesi için hangi ölçü gerekir?,Arama yapılabilmesi için şüpheli veya sanığın yakalanabileceği ya da suç delillerinin elde edilebileceği hususunda makul şüphe bulunmalıdır.,"1. Arama kararı verilebilmesi için hangi ölçü gerekir?

2. Bu soruya cevap verilebilmesi için, mevzuat bağlamında, hangi ölçü gerektiğini belirlemek için, hangi maddeyi incelemek gerekir?

3.  Madde 5'in 1. fıkrasına göre, hangi ölçü gerektiğini belirlemek için, hangi maddeyi incelemek gerekir?

4.  Madde 5'in 1. fıkrasına göre, hangi ölçü gerektiğini belirlemek için, hangi maddeyi incelemek gerekir?

**Cevaplar:**

1. **Araba kararı verilebilmesi için hangi ölçü gerekir?**

   Bu soruya cevap verilebilmesi için, mevzuat bağlamında, hangi ölçü gerektiğini belirlemek için, hangi maddeyi incelemek gerekir?

2. **Bu soruya cevap verilebilmesi için, mevzuat bağlamında, hangi ölçü gerektiğini belirlemek için, hangi maddeyi incelemek gerekir?**

   Madde 5'in 1. fıkrasına göre, hangi ölçü gerektiğini belirlemek için, hangi maddeyi incelemek gerekir?

3. **Madde 5'in 1. fıkrasına göre, hangi ölçü gerektiğini belirlemek için, hangi maddeyi incelemek gerekir?**

   Madde 5'in 1. fıkrasına göre, hangi ölçü gerektiğini belirlemek için, hangi maddeyi incelemek gerekir?

4. **Madde 5'in 1. fıkrasına göre, hangi ölçü gerektiğini belirlemek için, hangi maddeyi incelemek gerekir?**

   Madde 5'in 1. fıkrasına göre, hangi",1_5_5271_MADDE_116,1_5_5686_MADDE_5; 1_5_5271_MADDE_119; 1_4_211_MADDE_56; 1_5_5271_MADDE_120; 1_5_5271_MADDE_117; 1_3_2559_MADDE_9; 1_4_213_MADDE_142; 1_3_3894_MADDE_57; 1_3_6831_MADDE_88; 1_3_3894_MADDE_61,JEOTERMAL KAYNAKLAR VE DOĞAL MİNERALLİ SULAR KANUNU m.5 | CEZA MUHAKEMESİ KANUNU m.119 | TÜRK SİLAHLI KUVVETLERİ İÇ HİZMET KANUNU m.56 | CEZA MUHAKEMESİ KANUNU m.120 | CEZA MUHAKEMESİ KANUNU m.117 | POLİS VAZİFE VE SALȂHİYET KANUNU m.9 | VERGİ USUL KANUNU m.142 | DENİZDE ZABT VE MÜSADERE KANUNU m.57 | ORMAN KANUNU m.88 | DENİZDE ZABT VE MÜSADERE KANUNU m.61,0.0216216216216216,0.0216216216216216,0.0,0.0,0.0,0.0,retrieval_miss
Q061,Borçlar Hukuku,medium,Sözleşmede hata nedeniyle iptal hakkının doğması için hangi şart gerekir?,Hatanın esaslı olması gerekir. Esaslı olmayan hata sözleşmenin iptalini sağlamaz.,"1. Sözleşmede hata nedeniyle iptal hakkının doğması için hangi şart gerekir?
2. Sözleşmede hata nedeniyle iptal hakkının doğması için hangi şartlar vardır?
3. Bu şartlar, Türk hukukunda hangi madde veya kanunlar çerçevesinde açıklanmıştır?
4. Bu şartlar, Türk hukukunda hangi madde veya kanunlar çerçevesinde açıklanmıştır?

**Cevap:**

1. Sözleşmede hata nedeniyle iptal hakkının doğması için hangi şartlar gerekir?
   Sözleşmede hata nedeniyle iptal hakkının doğması için, sözleşmenin yapıldığı sırada taraflarca öngörülmeyen ve öngörülmesi de beklenmeyen olağanüstü bir durum, borçludan kaynaklanmayan bir sebeple ortaya çıkar ve sözleşmenin yapıldığı sırada mevcut olguları, kendisinden ifanın istenmesini dürüstlük kurallarına aykırı düşecek derecede borçlu aleyhine değiştirir ve borçlu da borcunu henüz ifa etmemiş veya ifanın aşırı ölçüde güçleşmesinden doğan haklarını saklı tutarak ifa etmiş olursa borçlu, hâkimden sözleşmenin yeni koşullara uyarlanmasını isteme, bu mümkün olmadığı takdirde sözleşmeden dönme hakkına sahiptir.

2. Sözleşmede hata nedeniyle iptal hakkının doğması için hangi şartlar vardır?
   Sözleşmede hata nedeniyle iptal hakkının doğması için, sözleşmenin yapıldığı sırada taraflarca öngörülmeyen ve öngörülmesi de beklenmeyen olağanüstü bir durum, borçludan kaynaklanmayan bir sebeple ortaya çıkar ve sözleşmenin yapıldığı sırada mevcut olguları, kendis",1_5_6098_MADDE_30,1_5_6098_MADDE_138; 1_5_4735_MADDE_20; 1_5_6098_MADDE_281; 1_5_6098_MADDE_31; 1_5_4686_MADDE_15; 1_5_6102_MADDE_1301; 1_5_6098_MADDE_227; 1_5_6098_MADDE_435; 1_5_6102_MADDE_1445; 1_5_6098_MADDE_268,TÜRK BORÇLAR KANUNU m.138 | KAMU İHALE SÖZLEŞMELERİ KANUNU m.20 | TÜRK BORÇLAR KANUNU m.281 | TÜRK BORÇLAR KANUNU m.31 | MİLLETLERARASI TAHKİM KANUNU m.15 | TÜRK TİCARET KANUNU m.1301 | TÜRK BORÇLAR KANUNU m.227 | TÜRK BORÇLAR KANUNU m.435 | TÜRK TİCARET KANUNU m.1445 | TÜRK BORÇLAR KANUNU m.268,0.032258064516129,0.032258064516129,0.0,0.0,0.0,0.0,retrieval_miss
Q062,Borçlar Hukuku,medium,Hata veya hile sebebiyle iptal hakkı hangi süre içinde kullanılmalıdır?,"Yanılma veya aldatmayı öğrenen taraf, bir yıl içinde sözleşmeyle bağlı olmadığını bildirmez veya verdiği şeyi geri istemezse sözleşmeyi onamış sayılır.","1. İptal hakkı, 10 gün içinde kullanılmalıdır.
2. Bu cevap, TÜRK BORÇLAR KANUNU m.281'e dayanmaktadır.
3. Madde 281, iptal hakkının kullanılma süresini belirtir.
4. Not: Bu cevap, sadece verilen mevzuat bağlamına dayanmaktadır.",1_5_6098_MADDE_39,1_5_6098_MADDE_281; 1_5_4686_MADDE_15; 1_5_6098_MADDE_158; 1_5_5042_MADDE_48; 1_3_2004_MADDE_67; 1_5_6100_MADDE_376; 1_3_2004_MADDE_283; 1_3_2004_MADDE_75; 1_5_6216_MADDE_37; 1_3_2004_MADDE_280,TÜRK BORÇLAR KANUNU m.281 | MİLLETLERARASI TAHKİM KANUNU m.15 | TÜRK BORÇLAR KANUNU m.158 | YENİ BİTKİ ÇEŞİTLERİNE AİT ISLAHÇI HAKLARININ KORUNMASINA İLİŞKİN KANUN m.48 | İCRA VE İFLAS KANUNU m.67 | HUKUK MUHAKEMELERİ KANUNU m.376 | İCRA VE İFLAS KANUNU m.283 | İCRA VE İFLAS KANUNU m.75 | ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.37 | İCRA VE İFLAS KANUNU m.280,0.0363636363636363,0.0363636363636363,0.0,1.0,0.0,0.0,retrieval_miss
Q017,Ceza Hukuku,medium,Meşru müdafaa ile zaruret hali (zorda kalma) arasındaki farklar nelerdir?,"Meşru müdafaa, kişinin kendisine veya başkasına yönelen haksız saldırıyı defetmesi halidir ve hukuka uygunluk sebebidir. Zaruret hali ise ağır ve muhakkak bir tehlikeden başka türlü kurtulma imkânı bulunmaması nedeniyle işlenen fiildir; saldırı şartı aranmaz.","1. Meşru müdafaa ile zaruret hali arasındaki farklar, meşru müdafaa ile zaruret hali arasındaki farklar, meşru müdafaa ile zaruret hali arasındaki farklar, meşru müdafaa ile zaruret hali arasındaki farklar, meşru müdafaa ile zaruret hali arasındaki farklar, meşru müdafaa ile zaruret hali arasındaki farklar, meşru müdafaa ile zaruret hali arasındaki farklar, meşru müdafaa ile zaruret hali arasındaki farklar, meşru müdafaa ile zaruret hali arasındaki farklar, meşru müdafaa ile zaruret hali arasındaki farklar, meşru müdafaa ile zaruret hali arasındaki farklar, meşru müdafaa ile zaruret hali arasındaki farklar, meşru müdafaa ile zaruret hali arasındaki farklar, meşru müdafaa ile zaruret hali arasındaki farklar, meşru müdafaa ile zaruret hali arasındaki farklar, meşru müdafaa ile zaruret hali arasındaki farklar, meşru müdafaa ile zaruret hali arasındaki farklar, meşru müdafaa ile zaruret hali arasındaki farklar, meşru müdafaa ile zaruret hali arasındaki farklar, meşru müdafaa ile zaruret hali arasındaki farklar, meşru müdafaa ile zaruret hali arasındaki farklar, meşru müdafaa ile zaruret hali arasındaki farklar, meşru müdafaa ile zaruret hali arasındaki farklar, meşru müdafaa ile zaruret hali arasındaki farklar, meşru müdafaa ile zaruret hali arasındaki farklar, meşru müdafaa ile",1_5_5237_MADDE_25,1_3_3780_MADDE_1; 1_3_3634_MADDE_1; 1_3_1632_MADDE_119; 1_3_3634_MADDE_44; 1_3_3634_MADDE_11; 1_3_3634_MADDE_6; 1_3_3894_MADDE_21; 1_3_3634_MADDE_49; 1_3_3634_MADDE_55; 1_3_3780_MADDE_22,MİLLİ KORUNMA KANUNU m.1 | MİLLİ MÜDAFAA MÜKELLEFİYETİ KANUNU m.1 | ASKERİ CEZA KANUNU m.119 | MİLLİ MÜDAFAA MÜKELLEFİYETİ KANUNU m.44 | MİLLİ MÜDAFAA MÜKELLEFİYETİ KANUNU m.11 | MİLLİ MÜDAFAA MÜKELLEFİYETİ KANUNU m.6 | DENİZDE ZABT VE MÜSADERE KANUNU m.21 | MİLLİ MÜDAFAA MÜKELLEFİYETİ KANUNU m.49 | MİLLİ MÜDAFAA MÜKELLEFİYETİ KANUNU m.55 | MİLLİ KORUNMA KANUNU m.22,0.0373831775700934,0.0373831775700934,0.0,0.0,0.0,0.0,retrieval_miss
Q006,Anayasa Hukuku,medium,Yasama sorumsuzluğu ile yasama dokunulmazlığı arasındaki süreklilik farkı nedir?,"Yasama sorumsuzluğu, milletvekilinin Meclis çalışmalarındaki oy ve sözlerinden dolayı hiçbir zaman sorumlu tutulamamasıdır ve süreklidir. Yasama dokunulmazlığı ise milletvekilinin seçimden önce veya sonra işlendiği ileri sürülen suç nedeniyle, Anayasadaki istisnalar dışında, Meclis kararı olmadıkça tutulamaması, sorgulanamaması, tutuklanamaması ve yargılanamamasıdır; kural olarak görev süresine bağlıdır.","1. Yasama sorumsuzluğu ile yasama dokunulmazlığı arasındaki süreklilik farkı, yasama sorumsuzluğu ile yasama dokunulmazlığı arasındaki süreklilik farkı, yasama sorumsuzluğu ile yasama dokunulmazlığı arasındaki süreklilik farkı, yasama sorumsuzluğu ile yasama dokunulmazlığı arasındaki süreklilik farkı, yasama sorumsuzluğu ile yasama dokunulmazlığı arasındaki süreklilik farkı, yasama sorumsuzluğu ile yasama dokunulmazlığı arasındaki süreklilik farkı, yasama sorumsuzluğu ile yasama dokunulmazlığı arasındaki süreklilik farkı, yasama sorumsuzluğu ile yasama dokunulmazlığı arasındaki süreklilik farkı, yasama sorumsuzluğu ile yasama dokunulmazlığı arasındaki süreklilik farkı, yasama sorumsuzluğu ile yasama dokunulmazlığı arasındaki süreklilik farkı, yasama sorumsuzluğu ile yasama dokunulmazlığı arasındaki süreklilik farkı, yasama sorumsuzluğu ile yasama dokunulmazlığı arasındaki süreklilik farkı, yasama sorumsuzluğu ile yasama dokunulmazlığı arasındaki süreklilik farkı, yasama sorumsuzluğu ile yasama dokunulmazlığı arasındaki süreklilik farkı, yasama sorumsuzluğu ile yasama dokunulmazlığı arasındaki süreklilik farkı, yasama sorumsuzluğu ile yasama dokunulmazlığı arasındaki süreklilik farkı, yasama sorumsuzluğu ile yasama dokunulmazlığı arasındaki süreklilik farkı, yasama sorumsuzluğu ile yasama dokunulmazlığı arasındaki süreklilik farkı, yasama sorumsuzluğu ile yasama dokunulmazlığı arasındaki süreklilik farkı, yasama sorumsuzluğu ile yasama dokunulmazlığı arasındaki süreklilik farkı, yasama",1_5_2709_MADDE_83,1_5_4857_MADDE_10; 1_5_5510_MADDE_19; 1_5_2247_GEÇİCİ_MADDE_7; 1_5_6216_MADDE_54; 1_5_5510_MADDE_94; 1_4_213_MADDE_351; 1_5_5510_MADDE_22; 1_5_2709_MADDE_85; 1_3_3533_GEÇİCİ_MADDE_4; 1_5_1475_MADDE_111,İŞ KANUNU m.10 | SOSYAL SİGORTALAR VE GENEL SAĞLIK SİGORTASI KANUNU m.19 | UYUŞMAZLIK MAHKEMESİNİN KURULUŞ VE İŞLEYİŞİ HAKKINDA KANUN geçici m.7 | ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.54 | SOSYAL SİGORTALAR VE GENEL SAĞLIK SİGORTASI KANUNU m.94 | VERGİ USUL KANUNU m.351 | SOSYAL SİGORTALAR VE GENEL SAĞLIK SİGORTASI KANUNU m.22 | TÜRKİYE CUMHURİYETİ ANAYASASI m.85 | UMUMİ MÜLHAK VE HUSUSİ BÜTÇELERLE İDARE EDİLEN DAİRELER VE BELEDİYELERLE SERMAYESİNİN TAMAMI DEVLETE VEYA BELEDİYE VEYA HUSUSİ İDARELERE AİD DAİRE VE MÜESSESELER ARASINDAKİ İHTİLAFLARIN TAHKİM YOLİLE HALLİ HAKKINDA KANUN geçici m.4 | İŞ KANUNU m.111,0.0388349514563106,0.0388349514563106,0.0,0.0,0.0,0.0,retrieval_miss
Q058,Anayasa Hukuku,hard,Anayasa Mahkemesi'ne itiraz yolu ile başvurulabilmesi için hangi koşullar gerekir?,Bir davaya bakmakta olan mahkemenin uygulanacak kanun veya Cumhurbaşkanlığı kararnamesi hükmünü Anayasaya aykırı görmesi ya da taraflardan birinin ciddi aykırılık iddiasını haklı bulması gerekir.,"1. Anayasa Mahkemesi'ne itiraz yolu ile başvurulabilmesi için, Mahkeme tarafından Anayasa'nın hangi maddelerine aykırılık iddiasıyla itiraz konusu kuralın uygulanacağı başka dava dosyalarının bulunması hâlinde, yapılmış olan itiraz başvurusu bu dosyalar için de bekletici mesele sayılır.

2. Şartlar / açıklama: Bu cevap, Anayasa Mahkemesi'ne itiraz yolu ile başvurulabilmesi için gerekli olan koşulları açıklıyor.

3. Dayanak maddeler:
- ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.41
- ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.40
- ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.45
- SİYASİ PARTİLER KANUNU m.104

4. Not / sınırlılık: Bu cevap, Anayasa Mahkemesi'ne itiraz yolu ile başvurulabilmesi için gerekli olan koşulları açıklıyor.",1_5_2709_MADDE_152,1_5_6216_MADDE_41; 1_5_6216_MADDE_40; 1_5_6216_MADDE_45; 1_5_6216_MADDE_43; 1_5_6216_MADDE_47; 1_5_2820_MADDE_104; 1_3_2004_MADDE_235; 1_5_6216_MADDE_35; 1_5_6216_MADDE_37; 1_5_6216_MADDE_38,ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.41 | ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.40 | ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.45 | ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.43 | ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.47 | SİYASİ PARTİLER KANUNU m.104 | İCRA VE İFLAS KANUNU m.235 | ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.35 | ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.37 | ANAYASA MAHKEMESİNİN KURULUŞU VE YARGILAMA USULLERİ HAKKINDA KANUN m.38,0.0422535211267605,0.028169014084507,0.0,1.0,0.0,0.0,retrieval_miss
